,EXPERIMENT,WELL,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TotalNumberCells
0,250411_mACmChPOLR2A_Inhibitors,D03,146.34034277004142,202.92500195856525,264.88526144384605,1668.1003937007874,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1524
1,250411_mACmChPOLR2A_Inhibitors,D04,181.54482984015618,266.5715056619314,306.1678561376766,1504.39222614841,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480,849
2,250411_mACmChPOLR2A_Inhibitors,D05,170.37968567202307,241.51958365778754,344.1911879508899,1676.7650727650728,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480,481
3,250411_mACmChPOLR2A_Inhibitors,D06,173.94051497996327,242.27029516733273,365.08463375128065,1388.9967426710098,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480,307
4,250411_mACmChPOLR2A_Inhibitors,D07,202.71615709563767,205.20342868117507,343.1985473562717,1411.2260183968463,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480,761
5,250411_mACmChPOLR2A_Inhibitors,D08,174.6041767693587,202.5010079799324,314.65147679895773,1714.483082706767,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480,532
6,250411_mACmChPOLR2A_Inhibitors,D09,175.16932550108706,198.2939187575277,344.6219310882292,1590.357142857143,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480,350
7,250411_mACmChPOLR2A_Inhibitors,D10,192.7618906591185,217.37952123059455,334.9539285625169,1494.2408963585435,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480,714
8,250411_mACmChPOLR2A_Inhibitors,D11,175.29339974870337,215.5558657692567,348.7985913457288,1594.2463465553235,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480,479
9,250411_mACmChPOLR2A_Inhibitors,D12,176.2778413852243,213.61048138262328,352.85869253971197,1352.7162790697676,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480,215
10,250411_mACmChPOLR2A_Inhibitors,D13,204.88330628282188,206.26790560069563,356.40452833484363,1537.8138686131388,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480,548
11,250411_mACmChPOLR2A_Inhibitors,D14,177.7294804188858,205.93366293627437,329.44012014860914,1615.422116527943,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480,841
12,250411_mACmChPOLR2A_Inhibitors,D15,177.0032285178229,197.61519053558703,334.73564667795006,1552.3260869565217,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480,230
13,250411_mACmChPOLR2A_Inhibitors,D16,215.23589216347065,200.173337921899,328.55969614523525,1588.6229007633588,HCT116 mChPOLR2A Clone 2,Vehicle,480,Vehicle,480,655
14,250411_mACmChPOLR2A_Inhibitors,D17,185.61952340226335,197.38199005699065,325.5943887474097,1747.2884310618067,HCT116 mChPOLR2A Clone 2,Vehicle,480,Leptomycin 10 ng/mL,480,631
15,250411_mACmChPOLR2A_Inhibitors,D18,185.03263265885099,197.9945113091998,334.51392305799476,1739.1614730878186,HCT116 mChPOLR2A Clone 2,Vehicle,480,Cycloheximide 50 µg/mL,480,353
16,250411_mACmChPOLR2A_Inhibitors,D19,212.06940861335775,198.80538500536315,341.5608893264628,1524.1368821292776,HCT116 mChPOLR2A Clone 2,Vehicle,480,Vehicle,480,526
17,250411_mACmChPOLR2A_Inhibitors,D20,184.69440446169997,195.99028701482376,312.9129301842097,1699.4281045751634,HCT116 mChPOLR2A Clone 2,Vehicle,480,Leptomycin 10 ng/mL,480,612
18,250411_mACmChPOLR2A_Inhibitors,D21,184.1967292845765,197.93912069847738,324.1804463172668,1753.8559782608695,HCT116 mChPOLR2A Clone 2,Vehicle,480,Cycloheximide 50 µg/mL,480,368
19,250411_mACmChPOLR2A_Inhibitors,D22,148.52916224892414,197.6752191319181,298.90416336066676,1750.0447658402204,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1452
20,250411_mACmChPOLR2A_Inhibitors,E03,146.6044558957134,197.01061622711842,274.905573893148,1706.75,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1548
21,250411_mACmChPOLR2A_Inhibitors,E04,184.15019377127112,243.5709743392653,286.0824306009274,1493.656798245614,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240,912
22,250411_mACmChPOLR2A_Inhibitors,E05,173.01225210700883,244.37224583057738,285.57305492349167,1604.8424068767908,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240,698
23,250411_mACmChPOLR2A_Inhibitors,E06,175.12347759060955,248.4693754425249,295.2266929259526,1601.3983402489628,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240,482
24,250411_mACmChPOLR2A_Inhibitors,E07,192.74550145747085,202.61681365489216,312.36992401158216,1492.150891632373,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240,729
25,250411_mACmChPOLR2A_Inhibitors,E08,179.51705596410704,202.93414456766547,298.03907062570613,1612.7284345047924,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240,939
26,250411_mACmChPOLR2A_Inhibitors,E09,181.26483254189253,202.42286371690645,332.2828006852533,1435.493810178817,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240,727
27,250411_mACmChPOLR2A_Inhibitors,E10,188.46546951736957,223.26692511096152,315.53493446513784,1503.5045751633986,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240,765
28,250411_mACmChPOLR2A_Inhibitors,E11,176.87948593552267,217.7304335823269,314.0468168040951,1710.7654320987654,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240,729
29,250411_mACmChPOLR2A_Inhibitors,E12,176.9413192875972,221.05108211048955,324.83517509287736,1615.90866873065,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240,646
30,250411_mACmChPOLR2A_Inhibitors,E13,197.21478370824883,211.65756671832094,326.6157337614202,1558.1750321750321,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240,777
31,250411_mACmChPOLR2A_Inhibitors,E14,181.20559306304534,203.12178143066055,298.4917155083579,1649.5265625,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240,1280
32,250411_mACmChPOLR2A_Inhibitors,E15,179.73232778116244,199.90685567538173,327.3987142308992,1532.2745098039215,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240,867
33,250411_mACmChPOLR2A_Inhibitors,E16,208.5345653267075,197.66011190529935,308.2448324170952,1605.4198830409357,HCT116 mChPOLR2A Clone 2,Vehicle,240,Vehicle,240,855
34,250411_mACmChPOLR2A_Inhibitors,E17,192.82935659951528,196.79864994454084,299.2776089912005,1669.4762726488352,HCT116 mChPOLR2A Clone 2,Vehicle,240,Leptomycin 10 ng/mL,240,1159
35,250411_mACmChPOLR2A_Inhibitors,E18,191.67621333001992,198.1994778507276,309.81431047641763,1712.8156779661017,HCT116 mChPOLR2A Clone 2,Vehicle,240,Cycloheximide 50 µg/mL,240,944
36,250411_mACmChPOLR2A_Inhibitors,E19,209.57254771336173,198.33939173219147,319.57629246225383,1694.0861344537816,HCT116 mChPOLR2A Clone 2,Vehicle,240,Vehicle,240,952
37,250411_mACmChPOLR2A_Inhibitors,E20,193.6748224297827,198.21764236750968,306.02478397883175,1652.9247104247104,HCT116 mChPOLR2A Clone 2,Vehicle,240,Leptomycin 10 ng/mL,240,1036
38,250411_mACmChPOLR2A_Inhibitors,E21,194.78215875203043,200.40210628673606,335.5506746548185,1685.8151147098515,HCT116 mChPOLR2A Clone 2,Vehicle,240,Cycloheximide 50 µg/mL,240,741
39,250411_mACmChPOLR2A_Inhibitors,E22,148.29336368582415,196.91260461872122,295.66760461732883,1603.408256880734,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1526
40,250411_mACmChPOLR2A_Inhibitors,F03,145.85369601965647,197.03540378623262,266.939286403366,1671.1610076670318,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1826
41,250411_mACmChPOLR2A_Inhibitors,F04,180.78336710812724,242.37273932908934,279.0096812145315,1601.055693069307,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120,808
42,250411_mACmChPOLR2A_Inhibitors,F05,177.18520168167228,255.0083793819177,292.8200634228051,1746.7300303336704,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120,989
43,250411_mACmChPOLR2A_Inhibitors,F06,181.54376520649592,264.0206122238752,305.2282920952312,1409.951165371809,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120,901
44,250411_mACmChPOLR2A_Inhibitors,F07,186.5109544288391,208.1234977564061,304.7926253579422,1549.0499375780275,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120,801
45,250411_mACmChPOLR2A_Inhibitors,F08,179.830726031046,204.63345381375132,287.65424970794703,1781.4694800301431,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120,1327
46,250411_mACmChPOLR2A_Inhibitors,F09,183.46932813759275,205.36827765928157,310.5162994705204,1437.3037825059102,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120,846
47,250411_mACmChPOLR2A_Inhibitors,F10,187.48933494179846,228.7056723310598,313.89820275182933,1475.5976430976432,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120,594
48,250411_mACmChPOLR2A_Inhibitors,F11,178.12627366526996,240.91623901441963,295.3085286226051,1693.756052141527,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120,1074
49,250411_mACmChPOLR2A_Inhibitors,F12,181.23955390085968,231.83429013187452,308.386841344551,1445.5397727272727,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120,880
50,250411_mACmChPOLR2A_Inhibitors,F13,189.4480220963481,209.63643262895587,319.10322897286346,1469.4720087815588,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120,911
51,250411_mACmChPOLR2A_Inhibitors,F14,181.26064299361988,205.32890930006383,300.93189757904037,1639.3170731707316,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120,1107
52,250411_mACmChPOLR2A_Inhibitors,F15,183.6528767953841,205.4647772229084,318.54482408211135,1506.4756690997567,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120,822
53,250411_mACmChPOLR2A_Inhibitors,F16,207.9587140538953,199.58151038617976,290.704132379191,1649.8024948024947,HCT116 mChPOLR2A Clone 2,Vehicle,120,Vehicle,120,1443
54,250411_mACmChPOLR2A_Inhibitors,F17,199.66900050665654,196.7416841388451,284.14203161571913,1697.3242574257426,HCT116 mChPOLR2A Clone 2,Vehicle,120,Leptomycin 10 ng/mL,120,1616
55,250411_mACmChPOLR2A_Inhibitors,F18,200.17093986568264,197.39472593316788,291.1610942047841,1643.2878464818764,HCT116 mChPOLR2A Clone 2,Vehicle,120,Cycloheximide 50 µg/mL,120,938
56,250411_mACmChPOLR2A_Inhibitors,F19,207.8031502096193,197.5243776583255,303.1879361872522,1643.3011111111111,HCT116 mChPOLR2A Clone 2,Vehicle,120,Vehicle,120,900
57,250411_mACmChPOLR2A_Inhibitors,F20,200.1153147380785,199.58125863891578,283.5265397070651,1733.2547403132728,HCT116 mChPOLR2A Clone 2,Vehicle,120,Leptomycin 10 ng/mL,120,1213
58,250411_mACmChPOLR2A_Inhibitors,F21,202.25828974821232,197.60153537502643,311.8831372244365,1656.6875,HCT116 mChPOLR2A Clone 2,Vehicle,120,Cycloheximide 50 µg/mL,120,608
59,250411_mACmChPOLR2A_Inhibitors,F22,148.05942045430413,198.71932785869924,289.3595119277835,1740.3950617283951,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1701
60,250411_mACmChPOLR2A_Inhibitors,G03,145.72242622215032,195.63318118540874,264.7979298384642,1722.2859589041095,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1752
61,250411_mACmChPOLR2A_Inhibitors,G04,182.8158771798645,254.81474625840104,287.6694791120433,1457.1694581280788,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60,1015
62,250411_mACmChPOLR2A_Inhibitors,G05,180.82113895099974,259.23774843931534,289.79412972848536,1689.5964285714285,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,840
63,250411_mACmChPOLR2A_Inhibitors,G06,180.2706066316686,263.0813003781743,288.68666065887066,1526.0730688935282,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,958
64,250411_mACmChPOLR2A_Inhibitors,G07,183.87404379495342,220.6463316714174,297.3260095029502,1508.08114374034,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,1294
65,250411_mACmChPOLR2A_Inhibitors,G08,179.94988041849723,212.77683419606953,282.01597033795923,1631.417259786477,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60,1124
66,250411_mACmChPOLR2A_Inhibitors,G09,184.60178233591182,221.0842566027481,310.57061927401725,1532.8883291351806,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60,1191
67,250411_mACmChPOLR2A_Inhibitors,G10,187.54060682424932,244.51992061699104,309.4790108121674,1480.7563249001332,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60,751
68,250411_mACmChPOLR2A_Inhibitors,G11,181.96183898497307,241.80159137186544,297.8805890087456,1747.1107099879664,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,1662
69,250411_mACmChPOLR2A_Inhibitors,G12,186.5221692227028,241.86848406020158,315.8305428422245,1449.6565096952909,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,1083
70,250411_mACmChPOLR2A_Inhibitors,G13,182.30990985767397,220.32693359742976,290.88271365322805,1584.4997251236944,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,1819
71,250411_mACmChPOLR2A_Inhibitors,G14,179.72486911373252,212.97844540271308,302.50272773751294,1653.2514898688914,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60,1678
72,250411_mACmChPOLR2A_Inhibitors,G15,184.32291464098114,221.4395948370009,313.64142711192056,1471.4459234608985,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60,1202
73,250411_mACmChPOLR2A_Inhibitors,G16,205.61744145900903,198.34718640697943,287.9161387153267,1743.905576679341,HCT116 mChPOLR2A Clone 2,Vehicle,60,Vehicle,60,1578
74,250411_mACmChPOLR2A_Inhibitors,G17,208.374227042851,198.3676860070478,299.21322248839766,1645.1324815063888,HCT116 mChPOLR2A Clone 2,Vehicle,60,Leptomycin 10 ng/mL,60,1487
75,250411_mACmChPOLR2A_Inhibitors,G18,208.56603814787348,199.46316617039665,298.17627811393953,1598.968115942029,HCT116 mChPOLR2A Clone 2,Vehicle,60,Cycloheximide 50 µg/mL,60,1380
76,250411_mACmChPOLR2A_Inhibitors,G19,209.68500201246604,200.17110639556734,309.9334642567973,1679.7601683029452,HCT116 mChPOLR2A Clone 2,Vehicle,60,Vehicle,60,1426
77,250411_mACmChPOLR2A_Inhibitors,G20,206.1561228512806,198.77806762556347,300.182233455094,1675.2413236481034,HCT116 mChPOLR2A Clone 2,Vehicle,60,Leptomycin 10 ng/mL,60,1239
78,250411_mACmChPOLR2A_Inhibitors,G21,210.1758934626271,201.38797631858083,329.9548382377788,1592.7464788732395,HCT116 mChPOLR2A Clone 2,Vehicle,60,Cycloheximide 50 µg/mL,60,568
79,250411_mACmChPOLR2A_Inhibitors,G22,149.18319458760448,198.38480086933566,299.6590731365443,1714.203412662775,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,2227
80,250411_mACmChPOLR2A_Inhibitors,H03,146.38476027955872,196.08030827988605,266.3750184782847,1642.680227471566,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,2286
81,250411_mACmChPOLR2A_Inhibitors,H04,183.93339472027927,263.69121789378977,290.25237841896154,1410.8573551263,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Vehicle,30,673
82,250411_mACmChPOLR2A_Inhibitors,H05,180.4739401387787,261.7331267367113,289.5315707027249,1671.4622641509434,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Leptomycin 10 ng/mL,30,1378
83,250411_mACmChPOLR2A_Inhibitors,H06,182.5588383526676,269.0441277676508,294.30593840177175,1519.652622527945,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Cycloheximide 50 µg/mL,30,1163
84,250411_mACmChPOLR2A_Inhibitors,H07,181.8000258865878,237.23509194048782,287.5733113992966,1591.6025166543302,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Vehicle,30,1351
85,250411_mACmChPOLR2A_Inhibitors,H08,179.53548234733503,226.55999837921746,275.44864642332846,1759.7642526964562,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Leptomycin 10 ng/mL,30,1947
86,250411_mACmChPOLR2A_Inhibitors,H09,182.32310593509115,241.14304656263636,292.0802007453547,1526.4931129476583,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Cycloheximide 50 µg/mL,30,1452
87,250411_mACmChPOLR2A_Inhibitors,H10,183.94782872536055,260.6962752070279,299.8006379985073,1562.135251798561,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Vehicle,30,1390
88,250411_mACmChPOLR2A_Inhibitors,H11,181.65870459809142,265.69027052075194,287.38996694991147,1752.9384035197988,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Leptomycin 10 ng/mL,30,1591
89,250411_mACmChPOLR2A_Inhibitors,H12,180.04407747963884,255.61863930700318,281.30334244601573,1666.5731852439508,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Cycloheximide 50 µg/mL,30,2521
90,250411_mACmChPOLR2A_Inhibitors,H13,182.10485568233563,239.41781246552154,286.78925931342707,1575.968044077135,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Vehicle,30,1815
91,250411_mACmChPOLR2A_Inhibitors,H14,180.26264230651304,227.19200768510655,288.9197150939418,1765.4838095238094,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Leptomycin 10 ng/mL,30,1575
92,250411_mACmChPOLR2A_Inhibitors,H15,185.07721507639016,239.49575462708287,304.35913892601815,1414.6999226604796,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Cycloheximide 50 µg/mL,30,1293
93,250411_mACmChPOLR2A_Inhibitors,H16,209.60663139125327,199.21298029671613,293.43415191279206,1637.6396085204376,HCT116 mChPOLR2A Clone 2,Vehicle,30,Vehicle,30,1737
94,250411_mACmChPOLR2A_Inhibitors,H17,204.72193080964794,197.43030511784852,288.40940400392157,1644.847969782814,HCT116 mChPOLR2A Clone 2,Vehicle,30,Leptomycin 10 ng/mL,30,1059
95,250411_mACmChPOLR2A_Inhibitors,H18,208.33206794105357,197.80440739673824,292.2972670897088,1662.457805907173,HCT116 mChPOLR2A Clone 2,Vehicle,30,Cycloheximide 50 µg/mL,30,1422
96,250411_mACmChPOLR2A_Inhibitors,H19,210.78923429173054,196.72351356247674,290.2211374165584,1610.9673640167364,HCT116 mChPOLR2A Clone 2,Vehicle,30,Vehicle,30,1195
97,250411_mACmChPOLR2A_Inhibitors,H20,203.9614775390197,199.49117520239335,285.8939268834613,1667.9239631336407,HCT116 mChPOLR2A Clone 2,Vehicle,30,Leptomycin 10 ng/mL,30,1302
98,250411_mACmChPOLR2A_Inhibitors,H21,208.3795861504902,198.92159396540805,302.04232674267627,1648.4769230769232,HCT116 mChPOLR2A Clone 2,Vehicle,30,Cycloheximide 50 µg/mL,30,1040
99,250411_mACmChPOLR2A_Inhibitors,H22,150.04758197732096,198.97190066121198,305.2194718678663,1610.741346758968,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1589
100,250411_mACmChPOLR2A_Inhibitors,I03,145.46259984470367,196.84885221607556,262.7224739290976,1684.7930839002267,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1764
101,250411_mACmChPOLR2A_Inhibitors,I04,187.38677345334298,238.36285604970942,288.13162920808224,1486.8960328317373,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480,731
102,250411_mACmChPOLR2A_Inhibitors,I05,169.8060829411014,225.88797003891437,274.60057428871784,1651.8704200178731,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480,1119
103,250411_mACmChPOLR2A_Inhibitors,I06,169.39141877595875,224.23584230039003,297.8488764172246,1520.3146603098928,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480,839
104,250411_mACmChPOLR2A_Inhibitors,I07,196.77380246099483,203.50870692002655,291.5381576536184,1487.794017675051,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480,1471
105,250411_mACmChPOLR2A_Inhibitors,I08,174.76450219457396,201.72340311710929,271.38835562765667,1700.4479768786127,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480,1730
106,250411_mACmChPOLR2A_Inhibitors,I09,174.89614983466998,198.7738803770673,312.46825346713933,1541.9353128313892,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480,943
107,250411_mACmChPOLR2A_Inhibitors,I10,191.2485100332166,232.80316493347019,303.55499312928606,1522.3934859154929,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480,1136
108,250411_mACmChPOLR2A_Inhibitors,I11,174.7618343422101,209.09384713079925,289.0980592179949,1685.4282011404873,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480,1929
109,250411_mACmChPOLR2A_Inhibitors,I12,173.32540157551668,208.9289122085778,313.42021974959044,1550.7821285140562,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480,996
110,250411_mACmChPOLR2A_Inhibitors,I13,199.20916765815795,205.14558712731062,300.7922149745851,1566.3916883116883,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480,1925
111,250411_mACmChPOLR2A_Inhibitors,I14,178.25323008371458,203.5827023260524,289.5399911838898,1706.3788235294119,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480,1700
112,250411_mACmChPOLR2A_Inhibitors,I15,175.77228386928294,199.3529384411198,326.8124837803866,1542.5184243964422,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480,787
