WELL,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2
C03,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C04,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C05,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C06,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C07,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C08,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C09,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C10,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C11,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C12,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C13,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C14,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C15,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C16,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C17,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C18,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C19,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C20,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C21,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
C22,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
D03,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
D04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480
D05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480
D06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480
D07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480
D08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480
D09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480
D10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480
D11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480
D12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480
D13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480
D14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480
D15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480
D16,HCT116 mChPOLR2A Clone 2,Vehicle,480,Vehicle,480
D17,HCT116 mChPOLR2A Clone 2,Vehicle,480,Leptomycin 10 ng/mL,480
D18,HCT116 mChPOLR2A Clone 2,Vehicle,480,Cycloheximide 50 µg/mL,480
D19,HCT116 mChPOLR2A Clone 2,Vehicle,480,Vehicle,480
D20,HCT116 mChPOLR2A Clone 2,Vehicle,480,Leptomycin 10 ng/mL,480
D21,HCT116 mChPOLR2A Clone 2,Vehicle,480,Cycloheximide 50 µg/mL,480
D22,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
E03,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
E04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240
E05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240
E06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240
E07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240
E08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240
E09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240
E10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240
E11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240
E12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240
