,EXPERIMENT,WELL,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TotalNumberCells,RFP_561_Intensity_BGS,RFP_561_Intensity_NORM,RFP_561_Intensity_NORM2,TIME_MIN,TIME_HOUR
7,250407_mACmChPOLR2A_Inhibitors,D10,186.33355889178895,251.9465872917586,375.6560064646803,1578.8586387434555,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Vehicle,30,764,48.987584487403694,0.7328553983602007,1.0754940140687144,30,0.5
8,250407_mACmChPOLR2A_Inhibitors,D11,182.5299663079847,215.3202959665902,365.7695165022597,1761.6624365482232,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Leptomycin 10 ng/mL,30,788,45.183991903599434,0.6759535652248982,0.9919883442415055,30,0.5
9,250407_mACmChPOLR2A_Inhibitors,D12,187.65236975544912,260.99645082983136,369.90550553454204,1474.9974160206718,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Cycloheximide 50 µg/mL,30,774,50.306395351063856,0.7525848394208831,1.1044477419243919,30,0.5
10,250407_mACmChPOLR2A_Inhibitors,D13,190.01850248833404,237.20937005119066,381.6050510211316,1428.4076163610719,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Vehicle,30,709,52.67252808394878,0.7879822398984951,1.1563948141741804,30,0.5
11,250407_mACmChPOLR2A_Inhibitors,D14,178.50486653989512,255.26745498261516,353.61839513081105,1745.3540925266905,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Leptomycin 10 ng/mL,30,1124,41.15889213550986,0.6157379794831409,0.9036196126147639,30,0.5
12,250407_mACmChPOLR2A_Inhibitors,D15,189.25429636623497,238.7569159104392,391.2990387683424,1385.067549668874,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Cycloheximide 50 µg/mL,30,755,51.90832196184971,0.7765496986148108,1.1396171118556768,30,0.5
13,250407_mACmChPOLR2A_Inhibitors,D16,187.51107918918683,252.3665099344915,384.9084874652299,1475.6642120765832,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Vehicle,30,679,50.16510478480157,0.7504711292776669,1.1013457894633853,30,0.5
14,250407_mACmChPOLR2A_Inhibitors,D17,178.88524395029853,218.49048003897775,358.3157259993152,1727.3588571428572,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Leptomycin 10 ng/mL,30,875,41.53926954591327,0.6214284343513554,0.9119705781146247,30,0.5
15,250407_mACmChPOLR2A_Inhibitors,D18,186.36955542091704,262.5542386193765,371.21649259938306,1413.578635014837,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Cycloheximide 50 µg/mL,30,674,49.02358101653178,0.7333939072695455,1.0762842969946762,30,0.5
16,250407_mACmChPOLR2A_Inhibitors,D19,186.66916822394398,236.28623401994236,371.6668677369083,1485.9530456852792,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Vehicle,30,788,49.323193819558725,0.7378761217411038,1.0828621223674844,30,0.5
17,250407_mACmChPOLR2A_Inhibitors,D20,177.37031287824405,252.55100057999968,345.0101876537017,1733.7956131605185,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Leptomycin 10 ng/mL,30,1003,40.02433847385879,0.5987650304314457,0.878711144795551,30,0.5
18,250407_mACmChPOLR2A_Inhibitors,D21,184.30020087427516,231.7991989624119,349.9521544579878,1508.5438034188035,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Cycloheximide 50 µg/mL,30,936,46.9542264698899,0.702436315330762,1.0308528177497365,30,0.5
27,250407_mACmChPOLR2A_Inhibitors,E10,184.11961793125008,236.3248305794606,331.443206128562,1484.0763983628922,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60,733,46.77364352686482,0.6997347903212622,1.0268882239389039,60,1.0
28,250407_mACmChPOLR2A_Inhibitors,E11,175.7626107335955,194.47368658169552,318.7323876585358,1742.9498680738786,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60,1137,38.416636329210235,0.5747137691171851,0.8434149763670065,60,1.0
29,250407_mACmChPOLR2A_Inhibitors,E12,185.51893607065,263.6316094907885,347.1099114707943,1411.4235033259424,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,902,48.17296166626474,0.7206686220913564,1.057609442354753,60,1.0
30,250407_mACmChPOLR2A_Inhibitors,E13,188.25490799129128,208.9316335827454,366.9729507387569,1519.4660633484164,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,663,50.908933586906016,0.7615988253823444,1.1176761195363234,60,1.0
31,250407_mACmChPOLR2A_Inhibitors,E14,175.5830485837056,237.86268616769937,331.5332149930978,1730.3362573099416,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,1026,38.23707417932033,0.5720275151966265,0.8394727934775937,60,1.0
32,250407_mACmChPOLR2A_Inhibitors,E15,193.92590526599585,215.46356847591142,386.8085000324326,1312.061224489796,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60,539,56.57993086161059,0.8464370759378884,1.2421795766176384,60,1.0
33,250407_mACmChPOLR2A_Inhibitors,E16,187.94060207943699,238.35301548996546,356.91343130968187,1372.6042857142857,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60,700,50.594627675051726,0.7568968016624738,1.1107757154783804,60,1.0
34,250407_mACmChPOLR2A_Inhibitors,E17,176.6517158117005,196.93078478176366,337.190955229194,1683.7829647829649,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60,1221,39.30574140731525,0.5880148016750626,0.862934762847312,60,1.0
35,250407_mACmChPOLR2A_Inhibitors,E18,188.05874029504122,255.57895898738556,356.9039796043855,1383.8037267080745,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,805,50.71276589065596,0.7586641521036955,1.113369371504588,60,1.0
36,250407_mACmChPOLR2A_Inhibitors,E19,192.40342180030805,214.48783604751847,394.32471176532835,1384.5358778625955,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,655,55.05744739592279,0.8236606880343299,1.2087543348752772,60,1.0
37,250407_mACmChPOLR2A_Inhibitors,E20,180.0557421304395,246.45338009293602,337.9015154593297,1718.4169653524493,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,837,42.70976772605425,0.638939114232044,0.9376681869963944,60,1.0
