,EXPERIMENT,WELL,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TIME_HOUR,TotalNumberCells,RFP_561_Intensity,RFP_561_Intensity_BGS,RFP_561_Intensity_NORM2
7,250407_mACmChPOLR2A_Inhibitors,D10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Vehicle,30,0.5,764,186.33355889178895,48.987584487403694,1.0754940140687144
8,250407_mACmChPOLR2A_Inhibitors,D11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Leptomycin 10 ng/mL,30,0.5,788,182.5299663079847,45.183991903599434,0.9919883442415055
9,250407_mACmChPOLR2A_Inhibitors,D12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Cycloheximide 50 µg/mL,30,0.5,774,187.65236975544912,50.306395351063856,1.1044477419243919
10,250407_mACmChPOLR2A_Inhibitors,D13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Vehicle,30,0.5,709,190.01850248833404,52.67252808394878,1.1563948141741804
11,250407_mACmChPOLR2A_Inhibitors,D14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Leptomycin 10 ng/mL,30,0.5,1124,178.50486653989512,41.15889213550986,0.9036196126147639
12,250407_mACmChPOLR2A_Inhibitors,D15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Cycloheximide 50 µg/mL,30,0.5,755,189.25429636623497,51.90832196184971,1.1396171118556768
13,250407_mACmChPOLR2A_Inhibitors,D16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Vehicle,30,0.5,679,187.51107918918683,50.16510478480157,1.1013457894633853
14,250407_mACmChPOLR2A_Inhibitors,D17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Leptomycin 10 ng/mL,30,0.5,875,178.88524395029853,41.53926954591327,0.9119705781146247
15,250407_mACmChPOLR2A_Inhibitors,D18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Cycloheximide 50 µg/mL,30,0.5,674,186.36955542091704,49.02358101653178,1.0762842969946762
16,250407_mACmChPOLR2A_Inhibitors,D19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Vehicle,30,0.5,788,186.66916822394398,49.323193819558725,1.0828621223674844
17,250407_mACmChPOLR2A_Inhibitors,D20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Leptomycin 10 ng/mL,30,0.5,1003,177.37031287824405,40.02433847385879,0.878711144795551
18,250407_mACmChPOLR2A_Inhibitors,D21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Cycloheximide 50 µg/mL,30,0.5,936,184.30020087427516,46.9542264698899,1.0308528177497365
27,250407_mACmChPOLR2A_Inhibitors,E10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60,1.0,733,184.11961793125008,46.77364352686482,1.0268882239389039
28,250407_mACmChPOLR2A_Inhibitors,E11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60,1.0,1137,175.7626107335955,38.416636329210235,0.8434149763670065
29,250407_mACmChPOLR2A_Inhibitors,E12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,1.0,902,185.51893607065,48.17296166626474,1.057609442354753
30,250407_mACmChPOLR2A_Inhibitors,E13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,1.0,663,188.25490799129128,50.908933586906016,1.1176761195363234
31,250407_mACmChPOLR2A_Inhibitors,E14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,1.0,1026,175.5830485837056,38.23707417932033,0.8394727934775937
32,250407_mACmChPOLR2A_Inhibitors,E15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60,1.0,539,193.92590526599585,56.57993086161059,1.2421795766176384
33,250407_mACmChPOLR2A_Inhibitors,E16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60,1.0,700,187.94060207943699,50.594627675051726,1.1107757154783804
34,250407_mACmChPOLR2A_Inhibitors,E17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60,1.0,1221,176.6517158117005,39.30574140731525,0.862934762847312
35,250407_mACmChPOLR2A_Inhibitors,E18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,1.0,805,188.05874029504122,50.71276589065596,1.113369371504588
36,250407_mACmChPOLR2A_Inhibitors,E19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,1.0,655,192.40342180030805,55.05744739592279,1.2087543348752772
37,250407_mACmChPOLR2A_Inhibitors,E20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,1.0,837,180.0557421304395,42.70976772605425,0.9376681869963944
38,250407_mACmChPOLR2A_Inhibitors,E21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60,1.0,588,193.68324228534604,56.33726788096078,1.2368520515752055
47,250407_mACmChPOLR2A_Inhibitors,F10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120,2.0,803,182.52784421885758,45.18186981447232,0.9919417550051222
48,250407_mACmChPOLR2A_Inhibitors,F11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120,2.0,834,174.55499751688205,37.209023112496794,0.8169025283768524
49,250407_mACmChPOLR2A_Inhibitors,F12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120,2.0,700,180.31916225407912,42.97318784969386,0.9434514230780282
50,250407_mACmChPOLR2A_Inhibitors,F13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120,2.0,655,191.98011376768366,54.6341393632984,1.1994608524560368
51,250407_mACmChPOLR2A_Inhibitors,F14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120,2.0,1123,172.85692410627303,35.51094970188777,0.7796223112020527
52,250407_mACmChPOLR2A_Inhibitors,F15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120,2.0,748,185.28728645027368,47.941312045888424,1.0525237092514994
53,250407_mACmChPOLR2A_Inhibitors,F16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120,2.0,972,182.25619281430374,44.910218409918485,0.9859778059235721
54,250407_mACmChPOLR2A_Inhibitors,F17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120,2.0,952,174.5966922274318,37.25071782304653,0.8178179115720801
55,250407_mACmChPOLR2A_Inhibitors,F18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120,2.0,643,179.66418943991908,42.318215035533825,0.9290718747010719
56,250407_mACmChPOLR2A_Inhibitors,F19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120,2.0,836,188.5647103694558,51.21873596507055,1.1244776511232886
57,250407_mACmChPOLR2A_Inhibitors,F20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120,2.0,1067,172.77562806952227,35.42965366513701,0.7778375038512141
58,250407_mACmChPOLR2A_Inhibitors,F21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120,2.0,925,182.7963754215303,45.450401017145055,0.9978372018634881
67,250407_mACmChPOLR2A_Inhibitors,G10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240,4.0,1084,182.79069329282018,45.44471888843492,0.997712454022196
68,250407_mACmChPOLR2A_Inhibitors,G11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240,4.0,1388,175.58030065369016,38.2343262493049,0.8394124642673745
69,250407_mACmChPOLR2A_Inhibitors,G12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240,4.0,721,172.32506834805326,34.979093943668005,0.7679457264041145
70,250407_mACmChPOLR2A_Inhibitors,G13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240,4.0,955,189.6653725414232,52.31939813703795,1.148642050937025
71,250407_mACmChPOLR2A_Inhibitors,G14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240,4.0,1018,171.17720010307224,33.83122569868698,0.7427449446277832
72,250407_mACmChPOLR2A_Inhibitors,G15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240,4.0,779,177.26458210469124,39.918607700305984,0.8763898869656587
73,250407_mACmChPOLR2A_Inhibitors,G16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240,4.0,1112,187.61464482736355,50.26867042297829,1.1036195130014568
74,250407_mACmChPOLR2A_Inhibitors,G17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240,4.0,876,178.49289971847136,41.146925314086104,0.903356887988854
75,250407_mACmChPOLR2A_Inhibitors,G18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240,4.0,777,174.4624729759848,37.11649857159955,0.8148712057278447
76,250407_mACmChPOLR2A_Inhibitors,G19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240,4.0,921,191.2586045228214,53.91263011843614,1.1836205353213118
77,250407_mACmChPOLR2A_Inhibitors,G20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240,4.0,1264,170.27051893635178,32.92454453196652,0.7228392853126677
78,250407_mACmChPOLR2A_Inhibitors,G21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240,4.0,607,179.26858057507025,41.922606170684986,0.920386511450168
87,250407_mACmChPOLR2A_Inhibitors,H10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480,8.0,1876,177.27768465376977,39.93171024938451,0.8766775458337259
88,250407_mACmChPOLR2A_Inhibitors,H11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480,8.0,1026,167.12517687850627,29.779202474121007,0.6537851241245151
89,250407_mACmChPOLR2A_Inhibitors,H12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480,8.0,784,163.58950937547095,26.243534971085694,0.5761615941007082
90,250407_mACmChPOLR2A_Inhibitors,H13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480,8.0,1529,197.14778059076244,59.80180618637718,1.3129139813065072
91,250407_mACmChPOLR2A_Inhibitors,H14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480,8.0,1113,163.7081797940826,26.36220538969735,0.5787669343353687
92,250407_mACmChPOLR2A_Inhibitors,H15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480,8.0,780,167.36783537291467,30.02186096852941,0.6591125506741191
93,250407_mACmChPOLR2A_Inhibitors,H16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480,8.0,1477,186.26087928769346,48.914904883308196,1.0738983755009526
94,250407_mACmChPOLR2A_Inhibitors,H17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480,8.0,1204,169.55184634537264,32.20587194098738,0.7070612452692346
95,250407_mACmChPOLR2A_Inhibitors,H18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480,8.0,476,166.73586169489434,29.38988729050908,0.6452379349960462
96,250407_mACmChPOLR2A_Inhibitors,H19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480,8.0,895,199.03311936899718,61.68714496461192,1.3543055010497282
97,250407_mACmChPOLR2A_Inhibitors,H20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480,8.0,688,163.9665276510105,26.620553246625235,0.5844388117422833
98,250407_mACmChPOLR2A_Inhibitors,H21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480,8.0,685,168.9585819985224,31.61260759413713,0.6940364705130535
