,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,EXPERIMENT
0,C03,135.7371517811291,180.6097485135624,220.82632591331375,1740.852672750978,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
1,C04,134.0821453873974,177.1811119175211,222.1661593237223,1677.5132616487456,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
2,C05,134.3327551723286,176.87028825947152,223.10706441032622,1708.973435861587,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
3,C06,134.3041850946395,176.4643921546143,227.68529087448476,1691.0402010050252,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
4,C07,134.33246728493035,176.92644083163384,227.800890627685,1693.208099956915,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
5,C08,134.13458263228807,177.0274409562509,217.23754755627212,1666.011356466877,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
6,C09,134.58692678953577,176.78902037349275,226.7168480777919,1674.0733605038904,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
7,C10,134.43722498231958,176.6248995728933,229.22032503439902,1639.7680369127518,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
8,C11,134.7695126212295,177.10465494186747,226.78310335453838,1669.5960047704234,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
9,C12,135.2597756469315,177.25846991754446,233.09245472395187,1667.8553459119496,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
10,C13,135.3175771646098,177.25290352723667,233.76644300780606,1668.7168342523516,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
11,C14,135.28129299013236,177.60836177670006,234.7910591178901,1622.821850794945,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
12,C15,135.54972410781178,178.5525024944824,229.66337563978604,1661.6576492537313,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
