,EXPERIMENT,WELL,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TIME_HR,RFP_Intensity,RFP_Intensity_BGS,RFP_Intensity_Fraction
21,250512_mACmChPOLR2A_Inhibitors_Chase,D04,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,30,0.5,176.53468201818063,42.400123130524236,0.9904171795689812
22,250512_mACmChPOLR2A_Inhibitors_Chase,D05,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,30,0.5,172.79532439531684,38.66076550766044,0.9030701683625367
23,250512_mACmChPOLR2A_Inhibitors_Chase,D06,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,30,0.5,175.20744765694175,41.072888769285356,0.9594145405285555
24,250512_mACmChPOLR2A_Inhibitors_Chase,D07,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,30,0.5,175.95813976872796,41.823580881071564,0.9769498283811685
25,250512_mACmChPOLR2A_Inhibitors_Chase,D08,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,30,0.5,177.17313623800067,43.03857735034427,1.0053307218181746
26,250512_mACmChPOLR2A_Inhibitors_Chase,D09,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,30,0.5,176.11747232780593,41.98291344014953,0.9806716502091316
27,250512_mACmChPOLR2A_Inhibitors_Chase,D10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,30,0.5,166.49976524863928,32.36520636098288,0.7560132856580313
28,250512_mACmChPOLR2A_Inhibitors_Chase,D11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,30,0.5,160.5402191504617,26.4056602628053,0.6168052739289532
29,250512_mACmChPOLR2A_Inhibitors_Chase,D12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,30,0.5,165.0721725825466,30.937613694890217,0.722666394245186
30,250512_mACmChPOLR2A_Inhibitors_Chase,D13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,30,0.5,176.91602842320208,42.78146953554568,0.9993249846179767
31,250512_mACmChPOLR2A_Inhibitors_Chase,D14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,30,0.5,168.92362437032915,34.789065482672754,0.8126317937596833
32,250512_mACmChPOLR2A_Inhibitors_Chase,D15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,30,0.5,175.73322352375857,41.59866463610217,0.9716960485207637
33,250512_mACmChPOLR2A_Inhibitors_Chase,D16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,30,0.5,163.78899738431184,29.654438496655445,0.6926929256112321
34,250512_mACmChPOLR2A_Inhibitors_Chase,D17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,30,0.5,160.52177336624925,26.387214478592853,0.6163744020298696
35,250512_mACmChPOLR2A_Inhibitors_Chase,D18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,30,0.5,163.4894678481136,29.35490896045721,0.6856962667212136
36,250512_mACmChPOLR2A_Inhibitors_Chase,D19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,30,0.5,180.545034303217,46.4104754155606,1.084094308453645
37,250512_mACmChPOLR2A_Inhibitors_Chase,D20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,30,0.5,171.46909472073278,37.33453583307639,0.8720909976247845
38,250512_mACmChPOLR2A_Inhibitors_Chase,D21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,30,0.5,177.06959074606957,42.93503185841317,1.0029120204912991
41,250512_mACmChPOLR2A_Inhibitors_Chase,E04,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,60,1.0,177.47704546460838,43.342486576951984,1.0124296851427672
42,250512_mACmChPOLR2A_Inhibitors_Chase,E05,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,60,1.0,173.8048867741472,39.67032788649081,0.9266523622340516
43,250512_mACmChPOLR2A_Inhibitors_Chase,E06,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,60,1.0,176.45425515658093,42.31969626892453,0.9885385023495319
44,250512_mACmChPOLR2A_Inhibitors_Chase,E07,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,60,1.0,176.8635067006022,42.72894781294579,0.9980981387382287
45,250512_mACmChPOLR2A_Inhibitors_Chase,E08,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,60,1.0,172.10986465481596,37.97530576715957,0.8870586322449394
46,250512_mACmChPOLR2A_Inhibitors_Chase,E09,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,60,1.0,175.1101731188942,40.97561423123781,0.9571423213342776
47,250512_mACmChPOLR2A_Inhibitors_Chase,E10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,60,1.0,164.23354768237436,30.098988794717968,0.7030770995210165
48,250512_mACmChPOLR2A_Inhibitors_Chase,E11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,60,1.0,158.77564390916362,24.641085021507223,0.5755868645332142
49,250512_mACmChPOLR2A_Inhibitors_Chase,E12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,60,1.0,162.9914333481471,28.8568744604907,0.6740627645432501
50,250512_mACmChPOLR2A_Inhibitors_Chase,E13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,60,1.0,179.92218882979043,45.78762994213403,1.0695453682253477
51,250512_mACmChPOLR2A_Inhibitors_Chase,E14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,60,1.0,166.503163120143,32.368604232486604,0.756092655953747
52,250512_mACmChPOLR2A_Inhibitors_Chase,E15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,60,1.0,171.87346003462613,37.73890114696974,0.8815364974047949
53,250512_mACmChPOLR2A_Inhibitors_Chase,E16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,60,1.0,165.91881177187898,31.78425288422258,0.7424428933706677
54,250512_mACmChPOLR2A_Inhibitors_Chase,E17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,60,1.0,160.0683523413975,25.933793453741117,0.6057830183395794
55,250512_mACmChPOLR2A_Inhibitors_Chase,E18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,60,1.0,163.9211096848248,29.786550797168417,0.6957789141037096
56,250512_mACmChPOLR2A_Inhibitors_Chase,E19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,60,1.0,181.69623687335474,47.56167798569834,1.110985051179049
57,250512_mACmChPOLR2A_Inhibitors_Chase,E20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,60,1.0,168.5229808352156,34.38842194755921,0.8032732303697095
58,250512_mACmChPOLR2A_Inhibitors_Chase,E21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,60,1.0,179.06248973133106,44.92793084367466,1.0494638049300478
61,250512_mACmChPOLR2A_Inhibitors_Chase,F04,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,120,2.0,175.62346641148721,41.48890752383082,0.969132251023318
62,250512_mACmChPOLR2A_Inhibitors_Chase,F05,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,120,2.0,170.7585619665995,36.624003078943105,0.8554937852965625
63,250512_mACmChPOLR2A_Inhibitors_Chase,F06,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,120,2.0,170.73268266194037,36.59812377428398,0.8548892750725994
64,250512_mACmChPOLR2A_Inhibitors_Chase,F07,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,120,2.0,176.58151354685253,42.44695465919614,0.9915111091879907
65,250512_mACmChPOLR2A_Inhibitors_Chase,F08,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,120,2.0,171.683817807781,37.5492589201246,0.8771066772634489
66,250512_mACmChPOLR2A_Inhibitors_Chase,F09,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,120,2.0,173.12207573881048,38.98751685115408,0.9107026967645679
67,250512_mACmChPOLR2A_Inhibitors_Chase,F10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,120,2.0,163.8466043298668,29.71204544221041,0.6940385563388717
68,250512_mACmChPOLR2A_Inhibitors_Chase,F11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,120,2.0,156.68673077401624,22.552171886359844,0.5267923020903554
69,250512_mACmChPOLR2A_Inhibitors_Chase,F12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,120,2.0,161.07135643573062,26.936797548074225,0.6292120183721379
70,250512_mACmChPOLR2A_Inhibitors_Chase,F13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,120,2.0,178.15817124108054,44.02361235342414,1.0283399849404495
71,250512_mACmChPOLR2A_Inhibitors_Chase,F14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,120,2.0,166.16591235077428,32.03135346311788,0.7482148732695458
72,250512_mACmChPOLR2A_Inhibitors_Chase,F15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,120,2.0,168.86233596132007,34.727777073663674,0.8112001683607621
73,250512_mACmChPOLR2A_Inhibitors_Chase,F16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,120,2.0,166.16626379308522,32.031704905428825,0.7482230825500075
74,250512_mACmChPOLR2A_Inhibitors_Chase,F17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,120,2.0,158.0888403656602,23.954281478003793,0.5595439387525352
75,250512_mACmChPOLR2A_Inhibitors_Chase,F18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,120,2.0,163.85839278624175,29.723833898585355,0.6943139208626585
76,250512_mACmChPOLR2A_Inhibitors_Chase,F19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,120,2.0,177.96191056235241,43.82735167469602,1.0237555655205384
77,250512_mACmChPOLR2A_Inhibitors_Chase,F20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,120,2.0,166.63299518549536,32.498436297838964,0.7591253808255134
78,250512_mACmChPOLR2A_Inhibitors_Chase,F21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,120,2.0,174.78520786671066,40.65064897905427,0.9495515139317905
81,250512_mACmChPOLR2A_Inhibitors_Chase,G04,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,240,4.0,179.9319423689679,45.7973834813115,1.0697731994685076
82,250512_mACmChPOLR2A_Inhibitors_Chase,G05,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,240,4.0,165.27497923541605,31.140420347759658,0.7274037199485676
83,250512_mACmChPOLR2A_Inhibitors_Chase,G06,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,240,4.0,162.54680943089804,28.41225054324164,0.6636768709755565
84,250512_mACmChPOLR2A_Inhibitors_Chase,G07,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,240,4.0,177.0609292120667,42.9263703244103,1.0027096972090894
