,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,DRUG_AND_TIME,IF_647_Intensity_BGS,IF_647_Intensity_FC,DRUG_AND_TIME_LABEL
2,C05,898.6718661304168,164.91606113661032,689.7351125214957,701.6426491050659,1989.9357142857143,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1960,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,737.3195151422723,1.1651426482502567,Vehicle
4,C08,856.1784852908486,165.1905351822789,689.366046002249,736.4528866377515,1967.3768453768453,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1287,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,694.8261343027041,1.0979928586845111,Vehicle
7,C11,1097.2547499288132,163.6798753466979,340.8459365835385,689.700454471886,2093.2391433670437,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1681,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,935.9023989406687,1.4789514955332292,4 hrs
10,C14,1100.9500597116903,164.50649414783823,339.8113405462456,728.9731818676332,2094.0215189873416,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1580,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,939.5977087235458,1.4847909761628661,4 hrs
13,C17,1310.8088442879503,163.79255283136814,327.8080199143927,701.7569480014222,1891.2608,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,625,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1149.4564932998057,1.8164184660070515,24 hrs
16,C20,1243.2966325005393,163.43388306431115,324.9408875798886,656.674225758133,1941.9045996592845,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,587,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1081.9442815123948,1.7097328899226618,24 hrs
118,I05,715.4645419509495,158.95499649752622,704.9279001460247,588.8057418508522,2017.4689557855127,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,2126,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,554.112190962805,0.8756308931841803,Vehicle
121,I08,706.3537216290214,157.73529125172382,705.4608213230881,593.1393234624337,1951.027484143763,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1892,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,545.0013706408769,0.8612335998810521,Vehicle
124,I11,908.3903293787802,157.1626367406973,334.08199759233196,601.0989344899275,2075.1614849187936,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,2155,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,747.0379783906357,1.1805001639182586,4 hrs
127,I14,933.037720224305,155.36176423505233,329.0736000002437,571.9275372828238,2007.871794871795,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,2496,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,771.6853692361605,1.2194489854975608,4 hrs
