,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,DRUG_AND_TIME,IF_647_Intensity_BGS,IF_647_Intensity_FC,DRUG_AND_TIME_LABEL
3,C06,861.8265534814361,223.86279009988968,427.88322864581085,797.688356760483,1703.1022304832713,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1076,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,700.4742024932916,1.137080041801304,Vehicle
5,C09,860.8972927475842,218.44111485018945,428.8328672998141,745.446960935421,1660.351895734597,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,844,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,699.5449417594397,1.135571572495323,Vehicle
8,C12,858.9500497977335,230.04249393027828,259.6529755693597,767.9705699224668,1672.5610619469026,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,565,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,697.597698809589,1.1324106122673343,4 hrs
11,C15,856.3785019622148,226.50227853134461,258.3660897480767,714.754326561026,1762.05078125,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1024,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,695.0261509740703,1.128236217678786,4 hrs
14,C18,887.5635829291458,233.64146255280625,248.37830864572314,700.7530901430508,1735.5349887133182,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,886,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,726.2112319410013,1.1788589715835516,24 hrs
17,C21,839.0277394245143,230.14082937260693,248.8785830659166,678.2289904225076,1749.7605633802816,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,923,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,677.6753884363698,1.1000707181908274,24 hrs
119,I06,698.5125925726906,216.0641127066331,446.13836002206983,641.2617200061065,1610.9738717339667,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1263,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,537.160241584546,0.8719724263661284,Vehicle
122,I09,688.2886887322476,215.9006673249359,443.71941148132026,651.7097378074199,1614.5528726061616,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1201,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,526.9363377441031,0.8553759593372448,Vehicle
125,I12,701.4344383040097,225.9691415950187,250.65846263601347,632.1137306645978,1653.7047939444913,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1189,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,540.0820873158652,0.8767154596633998,4 hrs
128,I15,694.3892707575246,221.86587772377496,248.35719617614203,614.6973104513901,1689.497420781135,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1357,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,533.0369197693801,0.8652790364807328,4 hrs
