,EXPERIMENT,WELL,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,RFP_561_Intensity,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
3,250915_mACmChPOLR2A_PTEFB,C06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1076,427.88322864581085,223.86279009988968,861.8265534814361,700.4742024932916,1.137080041801304
5,250915_mACmChPOLR2A_PTEFB,C09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,844,428.8328672998141,218.44111485018945,860.8972927475842,699.5449417594397,1.135571572495323
8,250915_mACmChPOLR2A_PTEFB,C12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,565,259.6529755693597,230.04249393027828,858.9500497977335,697.597698809589,1.1324106122673343
11,250915_mACmChPOLR2A_PTEFB,C15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1024,258.3660897480767,226.50227853134461,856.3785019622148,695.0261509740703,1.128236217678786
14,250915_mACmChPOLR2A_PTEFB,C18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,886,248.37830864572314,233.64146255280625,887.5635829291458,726.2112319410013,1.1788589715835516
17,250915_mACmChPOLR2A_PTEFB,C21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,923,248.8785830659166,230.14082937260693,839.0277394245143,677.6753884363698,1.1000707181908274
119,250915_mACmChPOLR2A_PTEFB,I06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1263,446.13836002206983,216.0641127066331,698.5125925726906,537.160241584546,0.8719724263661284
122,250915_mACmChPOLR2A_PTEFB,I09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1201,443.71941148132026,215.9006673249359,688.2886887322476,526.9363377441031,0.8553759593372448
125,250915_mACmChPOLR2A_PTEFB,I12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1189,250.65846263601347,225.9691415950187,701.4344383040097,540.0820873158652,0.8767154596633998
128,250915_mACmChPOLR2A_PTEFB,I15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1357,248.35719617614203,221.86587772377496,694.3892707575246,533.0369197693801,0.8652790364807328
131,250915_mACmChPOLR2A_PTEFB,I18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,1252,242.03646002329862,231.28827393465224,713.5185981309647,552.1662471428202,0.8963316809492925
134,250915_mACmChPOLR2A_PTEFB,I21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,1101,249.25277669573836,234.88683841195558,722.290346388263,560.9379954001184,0.9105708632626122
22,250915_mACmChPOLR2A_PTEFB,D06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,1211,439.514202875693,218.5548260779095,1450.5216146509242,1289.1692636627797,1.1049230183836523
25,250915_mACmChPOLR2A_PTEFB,D09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,789,437.79592998208733,212.32940277820072,1445.6371358544814,1284.2847848663368,1.100736622378784
28,250915_mACmChPOLR2A_PTEFB,D12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,1028,255.91669297725193,227.95918735630443,1455.868662551508,1294.5163115633634,1.1095058737714458
31,250915_mACmChPOLR2A_PTEFB,D15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,881,253.7029800869283,229.86512728046793,1472.1057254398872,1310.7533744517427,1.1234223586287875
32,250915_mACmChPOLR2A_PTEFB,D18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,978,245.35021526260257,229.99448241104017,1438.5837618805667,1277.2314108924222,1.0946913066233466
35,250915_mACmChPOLR2A_PTEFB,D21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,866,246.07482638679681,235.77341056804826,1645.2393577094172,1483.8870067212727,1.2718119773879686
139,250915_mACmChPOLR2A_PTEFB,J06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,1233,443.48005229472597,212.07096570565147,1211.5026308293316,1050.150279841187,0.9000642892011125
142,250915_mACmChPOLR2A_PTEFB,J09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,1280,444.9521092465602,212.54842120521147,1204.7492243799475,1043.396873391803,0.8942760700364513
145,250915_mACmChPOLR2A_PTEFB,J12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,1356,253.28395101419773,224.3047013857093,1172.459510069417,1011.1071590812726,0.8666011559624297
148,250915_mACmChPOLR2A_PTEFB,J15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,1376,247.4587308006251,223.97149022034637,1196.5118647777856,1035.159513789641,0.8872159822018463
151,250915_mACmChPOLR2A_PTEFB,J18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,1475,243.45738907282734,231.93126042424018,1240.5742019757827,1079.2218509876382,0.9249809925741261
154,250915_mACmChPOLR2A_PTEFB,J21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,1227,245.98617749737954,233.41582651531596,1265.0748928355235,1103.722541847379,0.9459800793971509
40,250915_mACmChPOLR2A_PTEFB,E06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,1296,437.4729425252595,213.66317867345967,2568.696558797402,2407.3442078092576,1.0751345318890095
43,250915_mACmChPOLR2A_PTEFB,E09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,1350,440.7135821377684,216.93628138695507,2528.127591696951,2366.7752407088065,1.0570161849940065
46,250915_mACmChPOLR2A_PTEFB,E12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1324,252.5859577683345,224.69141797853203,2461.9785615285978,2300.626210540453,1.0274736267033147
49,250915_mACmChPOLR2A_PTEFB,E15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1403,249.80882447664564,224.84595188290683,2668.3492380190046,2506.9968870308603,1.1196400231597836
52,250915_mACmChPOLR2A_PTEFB,E18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,1054,242.14383320336057,230.199252670217,2736.649837941126,2575.2974869529817,1.1501434855590529
55,250915_mACmChPOLR2A_PTEFB,E21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,834,244.34145631401455,232.77366576989272,2992.4687682658637,2831.116417277719,1.2643937722487684
159,250915_mACmChPOLR2A_PTEFB,K06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,1517,436.1835728546238,210.68091417102886,2198.1790709461584,2036.8267199580139,0.9096591733734308
162,250915_mACmChPOLR2A_PTEFB,K09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,1036,443.19342221221524,212.29831446940975,2306.8451635186875,2145.4928125305432,0.9581901097435533
165,250915_mACmChPOLR2A_PTEFB,K12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,846,254.29859724501557,225.7639899994957,2265.24532046221,2103.8929694740655,0.9396113673908411
168,250915_mACmChPOLR2A_PTEFB,K15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1159,249.93511210525887,225.38217352035537,2232.5755423834394,2071.2231913952946,0.9250208462482077
171,250915_mACmChPOLR2A_PTEFB,K18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,964,245.5985548332277,233.2934283345441,2337.75354669126,2176.4011957031153,0.9719939812322633
