,EXPERIMENT,WELL,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,RFP_561_Intensity,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
2,250915_mACmChPOLR2A_PTEFB,C05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1960,689.7351125214957,164.91606113661032,898.6718661304168,737.3195151422723,1.1651426482502567
4,250915_mACmChPOLR2A_PTEFB,C08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1287,689.366046002249,165.1905351822789,856.1784852908486,694.8261343027041,1.0979928586845111
7,250915_mACmChPOLR2A_PTEFB,C11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1681,340.8459365835385,163.6798753466979,1097.2547499288132,935.9023989406687,1.4789514955332292
10,250915_mACmChPOLR2A_PTEFB,C14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1580,339.8113405462456,164.50649414783823,1100.9500597116903,939.5977087235458,1.4847909761628661
13,250915_mACmChPOLR2A_PTEFB,C17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,625,327.8080199143927,163.79255283136814,1310.8088442879503,1149.4564932998057,1.8164184660070515
16,250915_mACmChPOLR2A_PTEFB,C20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,587,324.9408875798886,163.43388306431115,1243.2966325005393,1081.9442815123948,1.7097328899226618
118,250915_mACmChPOLR2A_PTEFB,I05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,2126,704.9279001460247,158.95499649752622,715.4645419509495,554.112190962805,0.8756308931841803
121,250915_mACmChPOLR2A_PTEFB,I08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1892,705.4608213230881,157.73529125172382,706.3537216290214,545.0013706408769,0.8612335998810521
124,250915_mACmChPOLR2A_PTEFB,I11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,2155,334.08199759233196,157.1626367406973,908.3903293787802,747.0379783906357,1.1805001639182586
127,250915_mACmChPOLR2A_PTEFB,I14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,2496,329.0736000002437,155.36176423505233,933.037720224305,771.6853692361605,1.2194489854975608
