,WELL,IF_647_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,RFP_561_Intensity
0,C03,310.20992362814724,190.54413395746298,1024.2552359836532,1727.0866305705956,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2401,241021_mACmChPOLR2A_TotalPolII,123.34747557358293
1,C04,294.69791675926547,194.04992085148538,1022.6921648025348,1665.131868131868,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3003,241021_mACmChPOLR2A_TotalPolII,123.29763886630664
2,C05,299.7249214043219,192.95771757102148,1034.2302442527005,1698.7985429204941,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3157,241021_mACmChPOLR2A_TotalPolII,123.18252988273888
3,C06,291.60311621404355,192.34205441944965,985.1702524299485,1681.880568108457,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3098,241021_mACmChPOLR2A_TotalPolII,122.90871102875683
4,C07,302.65863247359187,192.37533023077174,1076.3058510792878,1670.7722642129477,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3043,241021_mACmChPOLR2A_TotalPolII,123.02602912593973
5,C08,288.9529077803402,194.65499439570536,952.5832382782867,1715.1171428571429,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3850,241021_mACmChPOLR2A_TotalPolII,122.80962243838002
6,C09,289.2848796811143,191.86891227469516,989.6694918465181,1692.8921126760563,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3550,241021_mACmChPOLR2A_TotalPolII,122.8040268605809
7,C10,292.4954216814129,191.5152990874147,949.8888382274175,1679.9369337979094,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2870,241021_mACmChPOLR2A_TotalPolII,122.89787270508327
8,C11,290.16701644059725,191.92993599642992,1028.6952047536352,1655.3592904389657,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3326,241021_mACmChPOLR2A_TotalPolII,123.11921847307009
9,C12,293.0518590641574,191.78495003641223,997.9020711811944,1652.1403661726242,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3441,241021_mACmChPOLR2A_TotalPolII,123.12733114876661
10,C13,291.90567752691254,192.36961415551406,1012.0010687853038,1714.596253229974,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3096,241021_mACmChPOLR2A_TotalPolII,122.85264016905795
11,C14,284.15404671840173,192.93554506509815,978.0113831569557,1704.3791319344639,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3479,241021_mACmChPOLR2A_TotalPolII,123.0985730063339
12,C15,298.9541116293473,193.60899883976788,1087.1298353894902,1681.0934802024412,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3359,241021_mACmChPOLR2A_TotalPolII,122.96695281273614
13,C16,285.6738979514071,192.2091711205238,1012.7809565527427,1661.9923005851556,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3247,241021_mACmChPOLR2A_TotalPolII,122.86738214384964
14,C17,285.77400101075204,191.20847093618116,1024.3626850212604,1690.1222760290557,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3304,241021_mACmChPOLR2A_TotalPolII,122.93214910789072
15,C18,279.3590460440803,191.7837242961675,957.0994293032073,1682.2024053224156,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3908,241021_mACmChPOLR2A_TotalPolII,122.87572818292352
16,C19,286.4124879641618,192.29749347717373,1006.0426433621058,1719.1778106508875,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3380,241021_mACmChPOLR2A_TotalPolII,122.6819275590074
17,C20,286.1023699517725,192.102139549979,956.9860521007848,1695.0770206022187,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3155,241021_mACmChPOLR2A_TotalPolII,122.84731184848141
18,C21,288.59168745358494,194.8901964873812,1003.5582297653015,1690.337356321839,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3480,241021_mACmChPOLR2A_TotalPolII,123.3226407868125
19,C22,288.42372740507534,192.06673317176853,889.833467299157,1771.2924571957426,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2161,241021_mACmChPOLR2A_TotalPolII,122.95759956130141
20,D03,274.6157581320321,193.57866476154814,946.8850747460274,1619.271265189421,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2798,241021_mACmChPOLR2A_TotalPolII,123.12650370076094
21,D04,272.5430793212716,193.07125282649616,923.2015917343829,1772.796468401487,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2152,241021_mACmChPOLR2A_TotalPolII,144.78869989247164
22,D05,228.98407459337818,298.9880361680107,888.5852249210548,1904.807917888563,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1364,241021_mACmChPOLR2A_TotalPolII,123.59712504967783
