,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C03,709.0923234055482,152.8592027367095,242.3326853929286,497.45508055240674,1641.5237715803453,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3765,241102_mACmChPOLR2A_TotalPolII
1,C04,714.3484070028669,153.82456502839412,239.43428728821868,522.3601379428011,1613.672163219676,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3578,241102_mACmChPOLR2A_TotalPolII
2,C05,747.4581751377867,155.25236659405311,238.60224698049356,521.9179258466357,1667.697585768742,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2361,241102_mACmChPOLR2A_TotalPolII
3,C06,710.6713014839703,155.443109846942,236.17688601698853,524.9010124182649,1647.2834437086092,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2265,241102_mACmChPOLR2A_TotalPolII
4,C07,676.1845500220521,152.3888830314661,234.14032190594747,497.14123726285305,1643.1435851318945,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3336,241102_mACmChPOLR2A_TotalPolII
5,C08,645.5816374570463,150.92149834296683,233.0009288115796,474.10077410416073,1691.8868541530412,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3058,241102_mACmChPOLR2A_TotalPolII
6,C09,676.8541974585788,153.58863355617984,233.74255735605277,524.1500005692451,1617.6384641522257,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2943,241102_mACmChPOLR2A_TotalPolII
7,C10,716.537159863717,156.61268391765506,232.27065849967315,544.4028595585993,1619.4148392910784,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3329,241102_mACmChPOLR2A_TotalPolII
8,C11,649.912898363313,151.816051123654,233.24078754618063,497.13072217572704,1600.077747989276,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2984,241102_mACmChPOLR2A_TotalPolII
9,C12,666.8689953687473,151.5247565910795,228.39552014968538,507.88031718553225,1566.8365783594,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3133,241102_mACmChPOLR2A_TotalPolII
10,C13,676.7334809169956,153.04439752785896,233.3311171487112,532.2911640437662,1637.876357827476,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3130,241102_mACmChPOLR2A_TotalPolII
11,C14,665.6439969759224,152.34326338023376,234.23741941906513,505.3385672607245,1620.8195050946142,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2748,241102_mACmChPOLR2A_TotalPolII
12,C15,643.0414087155906,151.88875694283558,233.42042891410617,496.31875657156627,1644.3761467889908,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3488,241102_mACmChPOLR2A_TotalPolII
13,C16,683.6903160636532,153.6969052970205,234.202604113574,516.1243988738585,1601.8215873015872,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3150,241102_mACmChPOLR2A_TotalPolII
14,C17,626.4338201710852,151.41942518688202,231.80634484875705,490.397586613774,1620.37529342723,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3408,241102_mACmChPOLR2A_TotalPolII
15,C18,653.0404284703461,152.84168474001385,234.45995262085384,513.5339600942757,1575.8044739022369,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3621,241102_mACmChPOLR2A_TotalPolII
16,C19,627.7980118408517,152.11695668285668,231.16414236211608,509.3524084718574,1644.5015772870663,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3170,241102_mACmChPOLR2A_TotalPolII
17,C20,604.8341861691135,151.6495967524919,232.16290065059374,500.90008605714695,1631.6686974180448,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3447,241102_mACmChPOLR2A_TotalPolII
18,C21,658.8555735679007,155.43932417305805,233.38346251271713,508.80303853982326,1618.0404320987655,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3240,241102_mACmChPOLR2A_TotalPolII
19,C22,647.5066174367811,153.96335985410778,233.09316209713063,490.94440453393054,1676.9829798376538,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3819,241102_mACmChPOLR2A_TotalPolII
20,D03,651.4365788162944,153.87052261522896,239.87140228678498,508.5005617783246,1602.987525987526,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3367,241102_mACmChPOLR2A_TotalPolII
21,D04,726.5529896529076,159.58258167285607,813.064345696286,631.075132872677,1739.7292418772563,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,554,241102_mACmChPOLR2A_TotalPolII
22,D05,712.1831256083977,204.8276516548257,479.5388162729078,565.0706425642394,1749.8175313059035,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1677,241102_mACmChPOLR2A_TotalPolII
23,D06,625.8495265978596,236.9974647015301,234.39135986394126,554.6366346913102,1629.9894379479442,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2651,241102_mACmChPOLR2A_TotalPolII
24,D07,411.1209841703546,155.34680153407086,352.37698017278547,553.258295872508,1635.084175084175,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,297,241102_mACmChPOLR2A_TotalPolII
25,D08,660.7054639635588,218.94155484772966,250.73731385500284,569.2562753011457,1738.4044734389563,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1073,241102_mACmChPOLR2A_TotalPolII
26,D09,644.4887408248013,241.53097859152817,233.91791247085777,552.07869832133,1614.7953431372548,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2448,241102_mACmChPOLR2A_TotalPolII
