,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,TIME_IN_AUXIN,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_561_Intensity,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
23,241021_mACmChPOLR2A_TotalPolII,D06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1435,0.5,221.70545643092703,27.57243665574964,0.15112156647150912,137.7614159461378,14.617841918470717,0.6750041354543779,263.2295258667866,128.98007040403988,0.8704437271372204
26,241021_mACmChPOLR2A_TotalPolII,D09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1255,0.0,255.35364731219667,61.22062753701928,0.33554368985498806,135.34717734404728,12.20360331638021,0.5635224920302865,292.33274135730966,158.08328589456292,1.0668516782562725
29,241021_mACmChPOLR2A_TotalPolII,D12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1142,0.5,219.83285978099872,25.69984000582133,0.14085806518434757,135.82290965456212,12.679335626895053,0.5854902543551085,268.71591517561365,134.4664597128669,0.9074695493711616
32,241021_mACmChPOLR2A_TotalPolII,D15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1124,0.0,261.0934391821026,66.96041940692521,0.3670028731484507,136.2458680267342,13.102293999067129,0.605021088792472,304.4574148386935,170.20795937594679,1.1486770792069534
35,241021_mACmChPOLR2A_TotalPolII,D18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,989,0.5,222.21340663150997,28.08038685633258,0.1539055870120225,136.88613809777965,13.742564070112579,0.6345866668151245,275.5949489919105,141.34549352916375,0.9538938676042276
38,241021_mACmChPOLR2A_TotalPolII,D21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1102,0.0,258.52868391152884,64.39566413635146,0.35294572473808916,136.70297756706637,13.559403539399298,0.6261289124918094,308.97181894125544,174.7223634785087,1.1791432955807541
43,241021_mACmChPOLR2A_TotalPolII,E06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1125,1.0,207.13608778424782,13.003068009070432,0.07126842037939811,137.2276188322278,14.084044804560719,0.6503551303965536,250.8189802403328,116.56952477758605,0.786689069870739
46,241021_mACmChPOLR2A_TotalPolII,E09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1071,0.0,256.1542198217929,62.02120004661549,0.3399315418694736,136.04817395490196,12.904599927234884,0.595892223068937,287.0208239054172,152.77136844267048,1.0310033087323118
49,241021_mACmChPOLR2A_TotalPolII,E12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1053,1.0,209.76593564688866,15.632915871711276,0.08568233430169774,135.85019622958268,12.706622201915607,0.5867502591549953,255.94708171955838,121.69762625681165,0.8212969263460229
52,241021_mACmChPOLR2A_TotalPolII,E15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,913,0.0,258.58519103705225,64.45217126187487,0.3532554342292204,136.63166516526962,13.488091137602552,0.6228359389878912,291.5875199255554,157.33806446280866,1.0618224259185534
