,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,TIME_IN_AUXIN,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
22,241021_mACmChPOLR2A_TotalPolII,D05,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1364,0.5,298.9880361680107,104.8550163928333,0.57469909270338,228.98407459337818,94.73461913063144,0.6904845459294711
25,241021_mACmChPOLR2A_TotalPolII,D08,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1443,0.0,357.7856676021171,163.6526478269397,0.8969626009335714,284.3256413051475,150.07618584240075,1.0938481411249041
28,241021_mACmChPOLR2A_TotalPolII,D11,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1585,0.5,307.48740389734667,113.35438412216928,0.6212832151482421,237.17858558105775,102.92913011831101,0.750211214494421
31,241021_mACmChPOLR2A_TotalPolII,D14,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1863,0.0,362.43434029848225,168.30132052330487,0.9224414771264574,278.93005146735203,144.6805960046053,1.0545217424613427
34,241021_mACmChPOLR2A_TotalPolII,D17,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1172,0.5,311.7530483325829,117.62002855740553,0.6446627545452056,245.06855265566642,110.81909719291968,0.8077181785050899
37,241021_mACmChPOLR2A_TotalPolII,D20,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1607,0.0,370.15431480380107,176.02129502862368,0.9647538289483125,291.5364909865845,157.28703552383777,1.1464052771934738
42,241021_mACmChPOLR2A_TotalPolII,E05,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1696,1.0,276.7942975110568,82.66127773587942,0.4530575927672921,216.435855187084,82.18639972433726,0.5990253554192841
45,241021_mACmChPOLR2A_TotalPolII,E08,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1606,0.0,358.701486904838,164.56846712966063,0.901982108253871,273.3025927872813,139.05313732453456,1.0135053401460765
48,241021_mACmChPOLR2A_TotalPolII,E11,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1457,1.0,275.16373351063555,81.03071373545816,0.44412064645919985,212.19762330544512,77.94816784269838,0.5681344979566927
51,241021_mACmChPOLR2A_TotalPolII,E14,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1605,0.0,375.62601172889896,181.49299195372157,0.9947436126189444,284.60708805611284,150.3576325933661,1.0958994992643787
