,WELL,IF_647_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,RFP_561_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity_BGS,IF_647_Intensity_FC,TIME_HOURS,TIME_IN_AUXIN
23,D06,263.2295258667866,221.70545643092703,908.1126571707193,1821.0982578397213,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1435,241021_mACmChPOLR2A_TotalPolII,137.7614159461378,27.57243665574964,0.15112156647150912,14.617841918470717,0.6750041354543779,128.98007040403988,0.8704437271372204,0.5,0.5
26,D09,292.33274135730966,255.35364731219667,890.5887966244428,1858.9577689243029,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1255,241021_mACmChPOLR2A_TotalPolII,135.34717734404728,61.22062753701928,0.33554368985498806,12.20360331638021,0.5635224920302865,158.08328589456292,1.0668516782562725,0.5,0.0
29,D12,268.71591517561365,219.83285978099872,890.4743279132447,1770.8266199649738,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1142,241021_mACmChPOLR2A_TotalPolII,135.82290965456212,25.69984000582133,0.14085806518434757,12.679335626895053,0.5854902543551085,134.4664597128669,0.9074695493711616,0.5,0.5
32,D15,304.4574148386935,261.0934391821026,974.5501271660853,1781.6806049822064,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1124,241021_mACmChPOLR2A_TotalPolII,136.2458680267342,66.96041940692521,0.3670028731484507,13.102293999067129,0.605021088792472,170.20795937594679,1.1486770792069534,0.5,0.0
35,D18,275.5949489919105,222.21340663150997,957.7833622078043,1717.7947421638019,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,989,241021_mACmChPOLR2A_TotalPolII,136.88613809777965,28.08038685633258,0.1539055870120225,13.742564070112579,0.6345866668151245,141.34549352916375,0.9538938676042276,0.5,0.5
38,D21,308.97181894125544,258.52868391152884,981.1124340979186,1781.9500907441015,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1102,241021_mACmChPOLR2A_TotalPolII,136.70297756706637,64.39566413635146,0.35294572473808916,13.559403539399298,0.6261289124918094,174.7223634785087,1.1791432955807541,0.5,0.0
43,E06,250.8189802403328,207.13608778424782,889.1119945539042,1728.744888888889,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1125,241021_mACmChPOLR2A_TotalPolII,137.2276188322278,13.003068009070432,0.07126842037939811,14.084044804560719,0.6503551303965536,116.56952477758605,0.786689069870739,1.0,1.0
46,E09,287.0208239054172,256.1542198217929,896.9194285007626,1726.3669467787115,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1071,241021_mACmChPOLR2A_TotalPolII,136.04817395490196,62.02120004661549,0.3399315418694736,12.904599927234884,0.595892223068937,152.77136844267048,1.0310033087323118,1.0,0.0
49,E12,255.94708171955838,209.76593564688866,872.5179293509098,1768.2545109211776,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1053,241021_mACmChPOLR2A_TotalPolII,135.85019622958268,15.632915871711276,0.08568233430169774,12.706622201915607,0.5867502591549953,121.69762625681165,0.8212969263460229,1.0,1.0
52,E15,291.5875199255554,258.58519103705225,914.2087516579579,1753.3975903614457,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,913,241021_mACmChPOLR2A_TotalPolII,136.63166516526962,64.45217126187487,0.3532554342292204,13.488091137602552,0.6228359389878912,157.33806446280866,1.0618224259185534,1.0,0.0
