WELL,CELL,ATTO565_PROBE,ATTO633_PROBE,TREATMENT
Well01,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle
Well02,mACPOLR2A,POLR2A intron,POLR2A even,Vehicle
Well03,mACPOLR2A,POLR2A intron,POLR2A even,"5PhIAA, 2 hours"
Well04,mACPOLR2A,POLR2A intron,POLR2A even,"5PhIAA, 4 hours"
Well05,mACPOLR2A,POLR2A intron,POLR2A even,"5PhIAA, 24 hours"
Well06,mACPOLR2A,POLR2C,POLR2B odd,"5PhIAA, 24 hours"
Well07,OsTIRF74G,POLR2A intron,POLR2A even,"5PhIAA, 24 hours"
Well08,mAC/mChPOLR2A,No probe,POLR2A even,Vehicle
Well09,mAC/mChPOLR2A,No probe,POLR2A even,"5PhIAA, 2 hours"
Well10,mAC/mChPOLR2A,No probe,POLR2A even,"5PhIAA, 4 hours"
Well11,mAC/mChPOLR2A,No probe,POLR2A even,"5PhIAA, 24 hours"
Well12,mACPOLR2A,POLR2C,POLR2B odd,Vehicle
Well13,OsTIRF74G,POLR2B even,POLR2A even,Vehicle
Well14,OsTIRF74G,POLR2B even,POLR2A even,LMB
Well15,OsTIRF74G,POLR2B even,POLR2A even,CB6644
Well16,OsTIRF74G,POLR2B even,POLR2A even,Triptolide
Well17,OsTIRF74G,POLR2B even,POLR2A even,AZD4573
Well18,OsTIRF74G,POLR2B even,POLR2A even,Vehicle
