,EXPERIMENT,WELL,PROBE,TREATMENT,CellVolume,SPOTS_PER_CELL,SPOTS_PER_PL
0,251031,Well13,POLR2A,Vehicle,1.5045161842563488,51,33.89794043671803
1,251031,Well13,POLR2A,Vehicle,1.9557054134290728,96,49.08714745114736
2,251031,Well13,POLR2A,Vehicle,2.1799085145826167,78,35.78131810496392
3,251031,Well13,POLR2A,Vehicle,2.2637477284051557,84,37.1066081904715
4,251031,Well13,POLR2A,Vehicle,2.1188291232091934,86,40.58845475455038
5,251031,Well13,POLR2A,Vehicle,2.0411246409820265,76,37.23437485103059
6,251031,Well13,POLR2A,Vehicle,2.537275427093244,100,39.41235505305867
7,251031,Well13,POLR2A,Vehicle,1.2010878906096356,27,22.479620526600783
8,251031,Well13,POLR2A,Vehicle,1.810667142313851,97,53.571414498660275
9,251031,Well13,POLR2A,Vehicle,1.83528337499716,50,27.24374921125048
10,251031,Well13,POLR2A,Vehicle,2.0688606594896006,90,43.502204745970424
11,251031,Well13,POLR2A,Vehicle,2.9141044658354835,151,51.816948146609356
12,251031,Well13,POLR2A,Vehicle,1.6473178675708764,55,33.387606049039356
13,251031,Well13,POLR2A,Vehicle,1.077400984663735,53,49.19245550582238
14,251031,Well13,POLR2A,Vehicle,2.0428836240961146,51,24.964711351369925
15,251031,Well13,POLR2A,Vehicle,3.6001407090333344,152,42.22057199559102
16,251031,Well13,POLR2A,Vehicle,2.048279180367204,80,39.057175782872555
17,251031,Well13,POLR2A,Vehicle,1.935877935497062,58,29.960566695083354
18,251031,Well13,POLR2A,Vehicle,2.9148447001502023,68,23.328858651198793
19,251031,Well13,POLR2A,Vehicle,1.7209558265240528,72,41.83721562768055
20,251031,Well13,POLR2A,Vehicle,2.5038007394133377,119,47.52774377240688
21,251031,Well13,POLR2A,Vehicle,1.484893091478473,40,26.937966261377742
22,251031,Well13,POLR2A,Vehicle,2.384029980099525,84,35.23445623636549
23,251031,Well13,POLR2A,Vehicle,1.7658856137494672,66,37.37501426259632
24,251031,Well13,POLR2A,Vehicle,2.0990980134068526,52,24.772545001652205
25,251031,Well13,POLR2A,Vehicle,1.3856879264305175,70,50.51642484922092
26,251031,Well13,POLR2A,Vehicle,1.3314686751010816,84,63.088228488456885
27,251031,Well13,POLR2A,Vehicle,2.7417378875305225,87,31.731698495205432
28,251031,Well13,POLR2A,Vehicle,1.2675787231106868,52,41.02309312386532
29,251031,Well13,POLR2A,Vehicle,2.1527591767765517,84,39.019691986995944
30,251031,Well13,POLR2A,Vehicle,1.3542835650528653,69,50.949447944682504
31,251031,Well13,POLR2A,Vehicle,2.723751993966603,121,44.424015206974694
32,251031,Well13,POLR2A,Vehicle,1.4725367910719835,120,81.49202161030007
33,251031,Well13,POLR2A,Vehicle,2.866956093646785,114,39.76342722953644
34,251031,Well13,POLR2A,Vehicle,2.143037644574668,69,32.19728788931029
35,251031,Well13,POLR2A,Vehicle,1.261579542291115,30,23.77971344202201
36,251031,Well13,POLR2A,Vehicle,1.6891458718094372,15,8.880227723572379
37,251031,Well13,POLR2A,Vehicle,2.1389541774537024,64,29.92116459277692
38,251031,Well13,POLR2A,Vehicle,1.7837889060593846,29,16.25752907280081
39,251031,Well13,POLR2A,Vehicle,1.7995085600904035,41,22.7839983144844
40,251031,Well13,POLR2A,Vehicle,2.6120073231667407,103,39.43327382219015
41,251031,Well13,POLR2A,Vehicle,2.089240930429169,69,33.0263489457035
42,251031,Well13,POLR2A,Vehicle,2.7611311793838005,118,42.736107897030074
43,251031,Well13,POLR2A,Vehicle,1.701694908475267,74,43.486055950125994
44,251031,Well13,POLR2A,Vehicle,2.0342930936798096,46,22.612277524273125
45,251031,Well13,POLR2A,Vehicle,1.4715519299665638,71,48.248382237936546
46,251031,Well13,POLR2A,Vehicle,2.8224382537009496,68,24.092643979309145
47,251031,Well13,POLR2A,Vehicle,1.7036942824183123,33,19.36967232944991
48,251031,Well13,POLR2A,Vehicle,1.7008265363178,72,42.332359275082936
49,251031,Well13,POLR2A,Vehicle,1.453937742045657,49,33.701580599357804
50,251031,Well13,POLR2A,Vehicle,2.86238549092529,51,17.817306635212795
51,251031,Well13,POLR2A,Vehicle,2.037144954923783,60,29.45298509808048
52,251031,Well13,POLR2A,Vehicle,1.440790375783524,47,32.62098414173587
53,251031,Well13,POLR2A,Vehicle,2.230666985167417,66,29.58756301987701
54,251031,Well13,POLR2A,Vehicle,1.9398057310239447,69,35.57057229827736
55,251031,Well13,POLR2A,Vehicle,1.852486674628924,45,24.291672710150024
56,251031,Well13,POLR2A,Vehicle,1.863438753717364,70,37.564958794785916
57,251031,Well13,POLR2A,Vehicle,2.628282947176626,66,25.11145159272103
58,251031,Well13,POLR2A,Vehicle,1.02179021990148,17,16.637465958168132
59,251031,Well13,POLR2A,Vehicle,2.140083061258409,58,27.101751819807827
60,251031,Well13,POLR2A,Vehicle,2.2688234695645915,74,32.616023676007416
61,251031,Well13,POLR2A,Vehicle,1.6422453033827475,61,37.14426820058509
62,251031,Well13,POLR2A,Vehicle,2.4107271289894467,104,43.14051090618281
63,251031,Well13,POLR2A,Vehicle,1.5390784551139596,54,35.08593068831025
64,251031,Well13,POLR2A,Vehicle,2.57950055274528,98,37.99185074633992
65,251031,Well13,POLR2A,Vehicle,2.488071554468396,77,30.947663004994208
66,251031,Well13,POLR2A,Vehicle,2.115375755397609,64,30.25467217192837
67,251031,Well13,POLR2A,Vehicle,1.8519783592196757,75,40.49723347285817
68,251031,Well13,POLR2A,Vehicle,2.4458030102084853,73,29.84704806368577
69,251031,Well13,POLR2A,Vehicle,2.5485272004750525,50,19.619174553318427
70,251031,Well13,POLR2A,Vehicle,1.7563663487208476,60,34.161437927626935
71,251031,Well13,POLR2A,Vehicle,2.344821918199467,65,27.720655242728178
72,251031,Well13,POLR2A,Vehicle,2.7828288344256724,64,22.998180559390562
73,251031,Well13,POLR2A,Vehicle,1.877043603847821,50,26.63763372225512
74,251031,Well13,POLR2A,Vehicle,2.0278470188962734,65,32.05370000513082
75,251031,Well13,POLR2A,Vehicle,1.5120318393801797,33,21.82493724042712
76,251031,Well13,POLR2A,Vehicle,1.5434552625856788,82,53.12755217966552
77,251031,Well13,POLR2A,Vehicle,2.227348109141197,59,26.488899403671905
78,251031,Well13,POLR2A,Vehicle,1.90775856245168,57,29.87799458582889
79,251031,Well13,POLR2A,Vehicle,1.4678401684886118,90,61.31457765777736
80,251031,Well13,POLR2A,Vehicle,1.5706734347700804,80,50.93356660209296
81,251031,Well13,POLR2A,Vehicle,2.9599979343575997,93,31.418940844694724
82,251031,Well13,POLR2A,Vehicle,2.3211916056120137,72,31.01855091407511
83,251031,Well13,POLR2A,Vehicle,1.7152785787970053,56,32.64775803314414
84,251031,Well13,POLR2A,Vehicle,2.2256219547306237,51,22.914942895669242
85,251031,Well13,POLR2A,Vehicle,1.5900741395564095,66,41.507498523567165
86,251031,Well13,POLR2A,Vehicle,1.3157945576588077,39,29.639885476797133
87,251031,Well13,POLR2A,Vehicle,1.6762568992136724,47,28.03866162880378
88,251031,Well13,POLR2A,Vehicle,2.256093345534217,48,21.27571542862476
89,251031,Well13,POLR2A,Vehicle,1.7469498057645134,58,33.20072494848677
90,251031,Well13,POLR2A,Vehicle,1.5069963398573083,82,54.412872699985634
91,251031,Well13,POLR2A,Vehicle,1.6788609566956365,64,38.121084265349715
92,251031,Well13,POLR2A,Vehicle,2.039212104254728,52,25.500044792547204
93,251031,Well13,POLR2A,Vehicle,1.9815543109798104,39,19.681519594946575
94,251031,Well13,POLR2A,Vehicle,1.7298852338798567,45,26.013286383786383
95,251031,Well13,POLR2A,Vehicle,1.6830185531471171,15,8.912557720739999
96,251031,Well13,POLR2A,Vehicle,1.0470121951141438,15,14.32648069430053
572,251031,Well13,POLR2A,Vehicle,2.0515408709098835,68,33.145817840734104
573,251031,Well13,POLR2A,Vehicle,2.151491565224737,55,25.563660526949313
574,251031,Well13,POLR2A,Vehicle,2.43285685212918,39,16.030536266804233
575,251031,Well13,POLR2A,Vehicle,1.683245177100407,45,26.73407333179943
576,251031,Well13,POLR2A,Vehicle,2.0944088037565325,105,50.1334791047822
577,251031,Well13,POLR2A,Vehicle,1.8885272961351005,52,27.534682769170868
578,251031,Well13,POLR2A,Vehicle,1.6462768799723522,44,26.726974384004556
579,251031,Well13,POLR2A,Vehicle,1.862458128573688,57,30.604714879497383
580,251031,Well13,POLR2A,Vehicle,2.037942374722042,80,39.25528071465285
581,251031,Well13,POLR2A,Vehicle,1.6048163454150608,43,26.794343242359435
582,251031,Well13,POLR2A,Vehicle,1.8618174393599476,51,27.392589048651672
583,251031,Well13,POLR2A,Vehicle,2.0824655096200573,81,38.89620242247293
584,251031,Well13,POLR2A,Vehicle,1.6776293508186442,40,23.84316892195581
585,251031,Well13,POLR2A,Vehicle,2.021883843751524,67,33.13741301561824
586,251031,Well13,POLR2A,Vehicle,1.7703789101691396,56,31.63164658047685
587,251031,Well13,POLR2A,Vehicle,1.8549911870099105,60,32.3451671469744
588,251031,Well13,POLR2A,Vehicle,1.77607627871447,50,28.15194403485315
589,251031,Well13,POLR2A,Vehicle,1.6496614134056005,88,53.34427979274286
