,EXPERIMENT,WELL,FOV,CELL,ATTO565_PROBE,ATTO633_PROBE,TREATMENT,LABEL,CellVolume,Spots_565,Spots_633,NucleiVolume,Nuclei561Mean,Nuclei405Mean,Spots_633_per_pL,Spots_565_per_pL
16,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,3,2.860127723315877,133,125,1.1003694282287293,116.2354856343244,215.4273227893297,43.704341935849556,46.50141981974393
17,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,4,2.8572387974066458,97,92,1.1408842843267304,112.35989741323937,210.14209547289045,32.19891878953317,33.94886002809476
18,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,5,2.396564190899252,52,51,0.9344340988412012,111.30139214081883,189.0086991801737,21.280464839484853,21.69772885594534
19,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,6,2.4371552943086403,78,67,0.9105633954247904,110.73904477688316,195.15373423691125,27.491067211212002,32.00452600708263
20,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,8,2.4260305997791427,94,84,0.8664564437680975,113.8422287705438,205.5108917111041,34.62446022224413,38.74641977251129
21,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,9,2.634912227305579,117,111,1.0396977481731409,114.90387886516558,187.6175454428784,42.12664044354407,44.4037561431951
22,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,10,1.8139690744930963,84,78,0.7398721399894785,115.43215564696892,199.19464315874148,42.999630532177996,46.30729441926861
23,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,11,2.1474621066160045,58,52,0.8831789617419472,110.24864205702282,191.1085203277769,24.21462983667833,27.00862558706429
24,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,12,2.041213596178645,67,68,0.9148681915468664,109.42072285642188,177.24166633869888,33.313515120270985,32.82361048614935
25,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,16,1.6994985623111376,65,60,0.7591372940000082,113.84501499616375,194.54760131129245,35.30453118972126,38.246575455531364
26,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,17,1.650743701631126,73,68,0.6750640432911282,114.49630094437298,206.030924293289,41.19355411309952,44.22249191553331
27,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,19,2.137324391172798,49,46,0.8300292907528052,108.5132452063236,187.8747424383734,21.52223602087784,22.925860109195963
28,250912,Well07,0006,OsTIRF74G,POLR2B even,POLR2B odd,Vehicle,20,2.5710836967604687,80,78,0.9606928256906458,104.68164571892176,175.48403400435197,30.337402122800967,31.11528422851381
