WELL,CELL,DRUG,CELL_LABEL,PRIMARY,SECONDARY
C03,HCT116,No treatment,No treatment,No primary,No primary
C04,HCT116,No treatment,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
C05,HCT116,No treatment,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
C06,HCT116,No treatment,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
C07,HCT116,No treatment,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
C08,HCT116,No treatment,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
C09,HCT116,No treatment,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
C10,HCT116,No treatment,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
C11,HCT116,No treatment,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
C12,HCT116,No treatment,No treatment,No primary,No primary
C13,HCT116,No treatment,No treatment,No primary,No primary
C14,HCT116,No treatment,No treatment,No primary,No primary
C15,HCT116,No treatment,No treatment,No primary,No primary
C16,HCT116,No treatment,No treatment,No primary,No primary
C17,HCT116,No treatment,No treatment,No primary,No primary
C18,HCT116,No treatment,No treatment,No primary,No primary
C19,HCT116,No treatment,No treatment,No primary,No primary
C20,HCT116,No treatment,No treatment,No primary,No primary
C21,HCT116,No treatment,No treatment,No primary,No primary
C22,HCT116,No treatment,No treatment,No primary,No primary
D03,HCT116,No treatment,No treatment,No primary,No primary
D04,HCT116,No treatment,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
D05,HCT116,No treatment,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
D06,HCT116,No treatment,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
D07,HCT116,No treatment,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
D08,HCT116,No treatment,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
D09,HCT116,No treatment,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
D10,HCT116,No treatment,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
D11,HCT116,No treatment,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
D12,HCT116,No treatment,No treatment,No primary,No primary
D13,HCT116,No treatment,No treatment,No primary,No primary
D14,HCT116,No treatment,No treatment,No primary,No primary
D15,HCT116,No treatment,No treatment,No primary,No primary
D16,HCT116,No treatment,No treatment,No primary,No primary
D17,HCT116,No treatment,No treatment,No primary,No primary
D18,HCT116,No treatment,No treatment,No primary,No primary
D19,HCT116,No treatment,No treatment,No primary,No primary
D20,HCT116,No treatment,No treatment,No primary,No primary
D21,HCT116,No treatment,No treatment,No primary,No primary
D22,HCT116,No treatment,No treatment,No primary,No primary
E03,HCT116,No treatment,No treatment,No primary,No primary
E04,HCT116,No treatment,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
E05,HCT116,Vehicle,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
E06,HCT116,Palbociclib 1 µM,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
E07,HCT116,Roscovitine 10 µM,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
E08,HCT116,Vehicle,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
E09,HCT116,Palbociclib 1 µM,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
E10,HCT116,Roscovitine 10 µM,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
E11,HCT116,No treatment,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
E12,HCT116,No treatment,No treatment,No primary,No primary
E13,HCT116,No treatment,No treatment,No primary,No primary
E14,HCT116,No treatment,No treatment,No primary,No primary
E15,HCT116,No treatment,No treatment,No primary,No primary
E16,HCT116,No treatment,No treatment,No primary,No primary
E17,HCT116,No treatment,No treatment,No primary,No primary
E18,HCT116,No treatment,No treatment,No primary,No primary
E19,HCT116,No treatment,No treatment,No primary,No primary
E20,HCT116,No treatment,No treatment,No primary,No primary
E21,HCT116,No treatment,No treatment,No primary,No primary
E22,HCT116,No treatment,No treatment,No primary,No primary
F03,HCT116,No treatment,No treatment,No primary,No primary
F04,HCT116 mCherryPOLR2A Clone 2,No treatment,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
F05,HCT116 mCherryPOLR2A Clone 2,Roscovitine 10 µM,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
F06,HCT116 mCherryPOLR2A Clone 2,Vehicle,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
F07,HCT116 mCherryPOLR2A Clone 2,Palbociclib 1 µM,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+
F08,HCT116 mCherryPOLR2A Clone 2,Roscovitine 10 µM,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+
