well,CELLS,PRIMARY_RAT,PRIMARY_RABBIT,SECONDARY_488,SECONDARY_568,SECONDARY_647,DAPI
A01,mAC-POLR2A,0,0,0,0,0,0
A02,mAC-POLR2A,0,0,0,0,0,0
A03,mAC-POLR2A,0,0,0,0,0,0
A04,mAC-POLR2A,0,0,0,0,0,0
A05,mAC-POLR2A,0,0,0,0,0,0
A06,mAC-POLR2A,0,0,0,0,0,0
A07,mAC-POLR2A,0,0,0,0,0,0
A08,mAC-POLR2A,0,0,0,0,0,0
A09,mAC-POLR2A,0,0,0,0,0,0
A10,mAC-POLR2A,0,0,0,0,0,0
A11,mAC-POLR2A,0,0,0,0,0,0
A12,mAC-POLR2A,0,0,0,0,0,0
A13,mAC-POLR2A,0,0,0,0,0,0
A14,mAC-POLR2A,0,0,0,0,0,0
A15,mAC-POLR2A,0,0,0,0,0,0
A16,mAC-POLR2A,0,0,0,0,0,0
A17,mAC-POLR2A,0,0,0,0,0,0
A18,mAC-POLR2A,0,0,0,0,0,0
A19,mAC-POLR2A,0,0,0,0,0,0
A20,mAC-POLR2A,0,0,0,0,0,0
A21,mAC-POLR2A,0,0,0,0,0,0
A22,mAC-POLR2A,0,0,0,0,0,0
A23,mAC-POLR2A,0,0,0,0,0,0
A24,mAC-POLR2A,0,0,0,0,0,0
B01,mAC-POLR2A,0,0,0,0,0,0
B02,mAC-POLR2A,0,0,0,0,0,0
B03,mAC-POLR2A,0,0,0,0,0,0
B04,mAC-POLR2A,0,0,0,0,0,0
B05,mAC-POLR2A,0,0,0,0,0,0
B06,mAC-POLR2A,0,0,0,0,0,0
B07,mAC-POLR2A,0,0,0,0,0,0
B08,mAC-POLR2A,0,0,0,0,0,0
B09,mAC-POLR2A,0,0,0,0,0,0
B10,mAC-POLR2A,0,0,0,0,0,0
B11,mAC-POLR2A,0,0,0,0,0,0
B12,mAC-POLR2A,0,0,0,0,0,0
B13,mAC-POLR2A,0,0,0,0,0,0
B14,mAC-POLR2A,0,0,0,0,0,0
B15,mAC-POLR2A,0,0,0,0,0,0
B16,mAC-POLR2A,0,0,0,0,0,0
B17,mAC-POLR2A,0,0,0,0,0,0
B18,mAC-POLR2A,0,0,0,0,0,0
B19,mAC-POLR2A,0,0,0,0,0,0
B20,mAC-POLR2A,0,0,0,0,0,0
B21,mAC-POLR2A,0,0,0,0,0,0
B22,mAC-POLR2A,0,0,0,0,0,0
B23,mAC-POLR2A,0,0,0,0,0,0
B24,mAC-POLR2A,0,0,0,0,0,0
C01,mAC-POLR2A,0,0,0,0,0,0
C02,mAC-POLR2A,0,0,0,0,0,0
C03,mAC-POLR2A,0,0,0,0,0,0
C04,mAC-POLR2A,0,0,0,0,0,0
C05,mAC-POLR2A,0,0,0,0,0,0
C06,mAC-POLR2A,0,0,0,0,0,0
C07,mAC-POLR2A,0,0,0,0,0,0
C08,mAC-POLR2A,0,0,0,0,0,0
C09,mAC-POLR2A,0,0,0,0,0,0
C10,mAC-POLR2A,0,0,0,0,0,0
C11,mAC-POLR2A,0,0,0,0,0,0
C12,mAC-POLR2A,0,0,0,0,0,0
C13,mAC-POLR2A,0,0,0,0,0,0
C14,mAC-POLR2A,0,0,0,0,0,0
C15,mAC-POLR2A,0,0,0,0,0,0
C16,mAC-POLR2A,0,0,0,0,0,0
C17,mAC-POLR2A,0,0,0,0,0,0
C18,mAC-POLR2A,0,0,0,0,0,0
C19,mAC-POLR2A,0,0,0,0,0,0
C20,mAC-POLR2A,0,0,0,0,0,0
C21,mAC-POLR2A,0,0,0,0,0,0
C22,mAC-POLR2A,0,0,0,0,0,0
C23,mAC-POLR2A,0,0,0,0,0,0
C24,mAC-POLR2A,0,0,0,0,0,0
D01,mAC-POLR2A,0,0,0,0,0,0
D02,mAC-POLR2A,0,0,0,0,0,0
D03,mAC-POLR2A,0,0,0,0,0,0
D04,mAC-POLR2A,0,0,0,0,0,0
D05,mAC-POLR2A,0,0,0,0,0,0
D06,mAC-POLR2A,0,0,0,0,0,0
D07,mAC-POLR2A,0,0,0,0,0,0
D08,mAC-POLR2A,0,0,0,0,0,0
D09,mAC-POLR2A,0,0,0,0,0,0
D10,mAC-POLR2A,0,0,0,0,0,0
D11,mAC-POLR2A,0,0,0,0,0,0
D12,mAC-POLR2A,0,0,0,0,0,0
D13,mAC-POLR2A,0,0,0,0,0,0
D14,mAC-POLR2A,0,0,0,0,0,0
D15,mAC-POLR2A,0,0,0,0,0,0
D16,mAC-POLR2A,0,0,0,0,0,0
D17,mAC-POLR2A,0,0,0,0,0,0
D18,mAC-POLR2A,0,0,0,0,0,0
D19,mAC-POLR2A,0,0,0,0,0,0
D20,mAC-POLR2A,0,0,0,0,0,0
D21,mAC-POLR2A,0,0,0,0,0,0
D22,mAC-POLR2A,0,0,0,0,0,0
D23,mAC-POLR2A,0,0,0,0,0,0
D24,mAC-POLR2A,0,0,0,0,0,0
E01,mAC-POLR2A,0,0,0,0,0,0
E02,mAC-POLR2A,0,0,0,0,0,0
E03,mAC-POLR2A,3E10,None,None,Rabbit,Rat,DAPI
E04,mAC-POLR2A,3E10,D8L4Y,None,Rabbit,Rat,DAPI
E05,mAC-POLR2A,3E10,D8L4Y,None,Rabbit,Rat,DAPI
E06,mAC-POLR2A,3E10,D8L4Y,None,Rabbit,Rat,DAPI
E07,mAC-POLR2A,3E10,D8L4Y,None,Rabbit,Rat,DAPI
E08,mAC-POLR2A,3E10,D8L4Y,None,Rabbit,Rat,DAPI
E09,mAC-POLR2A,3E10,D8L4Y,None,Rabbit,Rat,DAPI
E10,mAC-POLR2A,3E8,D8L4Y,None,Rabbit,Rat,DAPI
E11,mAC-POLR2A,3E8,D8L4Y,None,Rabbit,Rat,DAPI
E12,mAC-POLR2A,3E8,D8L4Y,None,Rabbit,Rat,DAPI
E13,mAC-POLR2A,3E8,D8L4Y,None,Rabbit,Rat,DAPI
E14,mAC-POLR2A,3E8,D8L4Y,None,Rabbit,Rat,DAPI
E15,mAC-POLR2A,3E8,D8L4Y,None,Rabbit,Rat,DAPI
E16,mAC-POLR2A,3E8,None,None,Rabbit,Rat,DAPI
E17,mAC-POLR2A,None,None,None,Rabbit,Rat,DAPI
E18,mAC-POLR2A,None,None,None,None,None,DAPI
E19,mAC-POLR2A,0,0,0,0,0,0
E20,mAC-POLR2A,0,0,0,0,0,0
E21,mAC-POLR2A,0,0,0,0,0,0
E22,mAC-POLR2A,0,0,0,0,0,0
E23,mAC-POLR2A,0,0,0,0,0,0
E24,mAC-POLR2A,0,0,0,0,0,0
F01,mAC-POLR2A,0,0,0,0,0,0
F02,mAC-POLR2A,0,0,0,0,0,0
F03,mAC-POLR2A,3E10,None,None,Rabbit,Rat,DAPI
