,EXPERIMENT,TIME_IN_AUXIN_H,pSer2_PolII_3E10_Normed,pSer5_PolII_3E8_Normed
0,250210_ARMC5mAC_PhosphoPolII,0,1.0000000000000002,1.0
1,250210_ARMC5mAC_PhosphoPolII,2,0.996355266799338,1.1420435482698288
2,250210_ARMC5mAC_PhosphoPolII,8,0.9815800955279066,1.3882583333308698
3,250210_ARMC5mAC_PhosphoPolII,24,1.069672935089056,1.6612970285721094
4,250210_ARMC5mAC_PhosphoPolII,48,1.0616526834056017,1.8802062793587875
5,250505_ARMC5mAC_PhosphoPolII,0,1.0000000000000002,1.0000000000000002
6,250505_ARMC5mAC_PhosphoPolII,2,1.0294712084687894,1.1188387356181753
7,250505_ARMC5mAC_PhosphoPolII,8,1.0741842330127573,1.470293658571677
8,250505_ARMC5mAC_PhosphoPolII,24,1.038672519240053,1.6613566628279712
9,250505_ARMC5mAC_PhosphoPolII,48,1.0795382131285054,1.7541048774439179
