EXPERIMENT,TIME_IN_AUXIN_H,pSer2_PolII_3E10_Normed
250210_ARMC5mAC_PhosphoPolII,0.0,1.0000000000000002
250210_ARMC5mAC_PhosphoPolII,2.0,0.996355266799338
250210_ARMC5mAC_PhosphoPolII,8.0,0.9815800955279066
250210_ARMC5mAC_PhosphoPolII,24.0,1.069672935089056
250210_ARMC5mAC_PhosphoPolII,48.0,1.0616526834056017
250505_ARMC5mAC_PhosphoPolII,0.0,1.0000000000000002
250505_ARMC5mAC_PhosphoPolII,2.0,1.0294712084687894
250505_ARMC5mAC_PhosphoPolII,8.0,1.0741842330127573
250505_ARMC5mAC_PhosphoPolII,24.0,1.038672519240053
250505_ARMC5mAC_PhosphoPolII,48.0,1.0795382131285054
260119_ARMC5mAC_TotalPhospho,0.0,1.0
260119_ARMC5mAC_TotalPhospho,2.0,1.0152151693302365
260119_ARMC5mAC_TotalPhospho,8.0,1.0067448302835307
260119_ARMC5mAC_TotalPhospho,24.0,1.0452529577066971
260119_ARMC5mAC_TotalPhospho,48.0,1.084387157701145
