,EXPERIMENT,TIME_IN_AUXIN_H,Total_PolII_F12_Normed,EU_Normed
0,250128_ARMC5mAC_TotalPolII,0,0.9999999999999998,0.9999999999999986
1,250128_ARMC5mAC_TotalPolII,2,1.0083618835297525,0.8609825870101866
2,250128_ARMC5mAC_TotalPolII,8,1.2763837714819777,0.9941790460981652
3,250128_ARMC5mAC_TotalPolII,24,1.5665124368345198,0.9834828276530253
4,250128_ARMC5mAC_TotalPolII,48,1.7056786062501745,1.038730089066321
5,250203_ARMC5mAC_TotalPolII,0,1.0000000000000002,1.0021909522470671
6,250203_ARMC5mAC_TotalPolII,2,1.359506637997223,1.2341255149735664
7,250203_ARMC5mAC_TotalPolII,8,1.5758275923229903,1.2679428312834307
8,250203_ARMC5mAC_TotalPolII,24,1.7192447072422974,1.2685707328881317
9,250203_ARMC5mAC_TotalPolII,48,1.5948537855493328,1.0127442139397294
