EXPERIMENT,TIME_IN_AUXIN_H,Total_PolII_F12_Normed
250128_ARMC5mAC_TotalPolII,0.0,1.0000000000000002
250128_ARMC5mAC_TotalPolII,2.0,1.008361883529753
250128_ARMC5mAC_TotalPolII,8.0,1.276383771481978
250128_ARMC5mAC_TotalPolII,24.0,1.56651243683452
250128_ARMC5mAC_TotalPolII,48.0,1.705678606250175
250203_ARMC5mAC_TotalPolII,0.0,1.0000000000000002
250203_ARMC5mAC_TotalPolII,2.0,1.359506637997223
250203_ARMC5mAC_TotalPolII,8.0,1.5758275923229903
250203_ARMC5mAC_TotalPolII,24.0,1.7192447072422974
250203_ARMC5mAC_TotalPolII,48.0,1.5948537855493328
260119_ARMC5mAC_TotalPhospho,0.0,0.9999999999999997
260119_ARMC5mAC_TotalPhospho,2.0,1.0851469914695921
260119_ARMC5mAC_TotalPhospho,8.0,1.4029079903401875
260119_ARMC5mAC_TotalPhospho,24.0,1.548584638930493
260119_ARMC5mAC_TotalPhospho,48.0,1.7579917000377794
