Primary,Cell,Drug,mean_Nuclei_intensity_mean_488,sd_Nuclei_intensity_mean_488,mean_Nuclei_intensity_mean_488_plate_normalised,sd_Nuclei_intensity_mean_488_plate_normalised
Total Pol II F12,HEK293 ARMC5 KO 1A3,Vehicle,322.6962086220911,76.60929303082906,330.02634627838916,35.558904650257865
Total Pol II F12,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,335.83765251528774,52.768216179150954,348.1870603066023,41.23815319005184
Total Pol II F12,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,290.19062736410564,71.23090873538962,296.03252151564504,33.67114477323129
Total Pol II F12,HEK293 ARMC5 KO 1A3,THZ1 1 µM,292.0698925653462,53.29535361312352,301.6486837662099,28.3667715912148
Total Pol II F12,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,274.41113602533346,92.00373798076136,276.12800515306986,49.82060989929598
Total Pol II F12,HEK293 ARMC5 KO 1A3,DRB 100 µM,288.45934773902826,67.77085363816099,295.5521041085439,40.04015596257521
Total Pol II F12,HEK293 ARMC5 KO 2B6,Vehicle,280.49997027952253,51.43154144995583,289.14556427346935,22.17214288547286
Total Pol II F12,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,287.17439822782706,48.30666020307048,296.1238180874637,14.343616584400047
Total Pol II F12,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,238.93409164248163,63.273111099402634,244.1658888298599,40.25370251981031
Total Pol II F12,HEK293 ARMC5 KO 2B6,THZ1 1 µM,249.46567670695853,36.766070055460155,258.6284294053177,22.787839706786198
Total Pol II F12,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,229.30938569185233,70.11323641694668,231.624856095449,33.777292460973655
Total Pol II F12,HEK293 ARMC5 KO 2B6,DRB 100 µM,230.6668783707413,56.61399853538647,236.475097608564,36.582922921820106
Total Pol II F12,HEK293 parental,Vehicle,182.3858019569156,28.31428577976325,188.90571182189348,15.713391555825417
Total Pol II F12,HEK293 parental,Triptolide 300 nM,30.78210842478177,8.85560411632651,31.19015078094101,4.682756594588207
Total Pol II F12,HEK293 parental,LDC4297 10 µM,103.56380554361183,26.14394842362564,105.73503637842977,14.786676428696532
Total Pol II F12,HEK293 parental,THZ1 1 µM,90.91521479697896,21.552797248506845,93.12038719000176,11.211984100324688
Total Pol II F12,HEK293 parental,AZD4573 1 µM,102.24781567136378,34.35690115069693,102.92918259574937,18.119820106921452
Total Pol II F12,HEK293 parental,DRB 100 µM,128.21160479957908,28.800631243433564,131.33698772469774,15.354489904644655
pSer2 Pol II 3E10,HEK293 ARMC5 KO 1A3,Vehicle,374.21683582464567,37.82144280870488,368.3574326134632,29.995821476894893
pSer2 Pol II 3E10,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,277.92163027505336,29.377756154242594,273.62424272260967,24.29218406385948
pSer2 Pol II 3E10,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,221.90262227941534,37.97573947468896,218.35566876733495,34.71147134433059
pSer2 Pol II 3E10,HEK293 ARMC5 KO 1A3,THZ1 1 µM,90.52396781336105,8.963212599911852,89.23513570109023,8.846977125593751
pSer2 Pol II 3E10,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,89.27579908435831,11.573131117024351,88.02457918218528,11.748604396717347
pSer2 Pol II 3E10,HEK293 ARMC5 KO 1A3,DRB 100 µM,165.6402931681277,12.845350540724322,163.45666712583673,15.106653266323901
