,DATE,CONDITION,RELATIVE_TOTAL,BOUND,FREE,RELATIVE_TOTAL_FC,BOUND_FC,BOUND_FRACTION
0,250926,VEHICLE,100.0,63.232148358010164,36.76785164198983,1.0,0.6323214835801017,0.6323214835801017
1,250926,"10 nM, 240-350 min",68.41923509458438,52.570704875032106,15.848530219552275,0.6841923509458439,0.525707048750321,0.7683614820065894
2,250926,"100 nM, 60-90 min",63.2183419895292,47.2711313017899,15.947210687739306,0.632183419895292,0.472711313017899,0.7477439270650182
3,250926,"100 nM, 240-350 min",33.138332476878816,28.167476783590367,4.970855693288446,0.3313833247687882,0.28167476783590367,0.8499968066662165
4,250926,"1 µM, 240-350 min",30.750821822734213,26.760508533374193,3.9903132893600195,0.30750821822734214,0.26760508533374194,0.8702371822007708
5,250929,VEHICLE,100.0,56.52939953534416,43.47060046465584,1.0,0.5652939953534416,0.5652939953534416
6,250929,"10 nM, 240-350 min",72.06463849703049,52.817111001802665,19.247527495227818,0.7206463849703049,0.5281711100180266,0.73291300842339
7,250929,"100 nM, 60-90 min",61.341295926160754,45.75551354774775,15.585782378413008,0.6134129592616075,0.45755513547747756,0.7459169692604098
8,250929,"100 nM, 240-350 min",34.51672978157769,29.182667503732716,5.334062277844968,0.3451672978157769,0.2918266750373272,0.8454644367644621
9,250929,"1 µM, 240-350 min",27.64760286923766,23.894133457594236,3.7534694116434233,0.2764760286923766,0.23894133457594235,0.8642388843113863
10,251010,VEHICLE,100.0,63.47894160849932,36.52105839150068,1.0,0.6347894160849932,0.6347894160849932
11,251010,"10 nM, 240-350 min",68.08131706578318,51.35306225477944,16.728254811003737,0.6808131706578319,0.5135306225477944,0.7542900823313955
12,251010,"100 nM, 60-90 min",65.54724922546411,49.31288604881152,16.234363176652586,0.6554724922546411,0.4931288604881152,0.7523257898922509
13,251010,"100 nM, 240-350 min",31.548791339605458,27.214945917229173,4.333845422376285,0.3154879133960546,0.2721494591722917,0.8626303817561563
14,251010,"1 µM, 240-350 min",33.988860830893756,29.28088568950037,4.707975141393386,0.3398886083089376,0.2928088568950037,0.8614847621749614
