,EXPERIMENT,TIME_IN_AUXIN_HRS,AUXIN_CONCENTRATION_nM,pSer2_PolII_3E10_Normed,Total_PolII_F12_Normed
0,250905,0.0,0,1.0,1.0309811900547692
1,250905,1.0,10,0.97206031027968,0.7715723306449149
2,250905,1.0,100,0.8868035498410354,0.5840996938418186
3,250905,1.0,1000,0.8675539992034063,0.5363998936703605
4,250905,1.0,10000,0.8645537656254433,0.5127528159202019
5,250905,2.0,10,0.9426538825003263,0.7375195034648728
6,250905,2.0,100,0.8401526872800655,0.47845296402973825
7,250905,2.0,1000,0.7566746475966105,0.3932266759980224
8,250905,2.0,10000,0.7702702894580277,0.38184268011310174
9,250905,4.0,10,0.947673699535092,0.7300126904366026
10,250905,4.0,100,0.797722657609212,0.4403640075463814
11,250905,4.0,1000,0.6863563296744075,0.34415074241021454
12,250905,4.0,10000,0.6715620877623812,0.3362411638655654
13,250905,8.0,10,0.8978875134091469,0.6377501807410086
14,250905,8.0,100,0.7702991909274469,0.4967388892556718
15,250905,8.0,1000,0.6967766639155873,0.39304026907339085
16,250905,8.0,10000,0.6716493950707406,0.3692527158200878
17,250912,0.0,0,0.990237746360135,1.0
18,250912,1.0,10,1.0417906614427743,0.777576806972744
19,250912,1.0,100,0.9638585293761648,0.5794849408195111
20,250912,1.0,1000,0.910503209431299,0.5430352731863444
21,250912,1.0,10000,0.8497792474530442,0.5150282526240875
22,250912,2.0,10,0.9544862765625937,0.7245298142490636
23,250912,2.0,100,0.9063812865020557,0.4620911258820707
24,250912,2.0,1000,0.8221929743701033,0.3876253917081482
25,250912,2.0,10000,0.7732917972547326,0.36318570546104
26,250912,4.0,10,0.9792459246171709,0.6822659257391309
27,250912,4.0,100,0.8571365530642514,0.45237596729442575
28,250912,4.0,1000,0.7533880742739608,0.37742400036803553
29,250912,4.0,10000,0.7079186545112955,0.3401834495163327
30,250912,8.0,10,0.9784074747235048,0.7364637958477656
31,250912,8.0,100,0.8545214329961084,0.5359207807786978
32,250912,8.0,1000,0.7690159030606798,0.431361774711436
33,250912,8.0,10000,0.7926913342349327,0.4410877505391745
