EXPERIMENT,TIME_IN_AUXIN_HRS,AUXIN_CONCENTRATION_nM,pSer2_PolII_3E10_Normed,Total_PolII_F12_Normed
250905,0.0,0,1.0,1.0310137496798806
250905,1.0,10,0.9710209213606976,0.7721120275246385
250905,1.0,100,0.8873089746622264,0.5848637049263606
250905,1.0,1000,0.8680778758869055,0.5368341665677364
250905,1.0,10000,0.8649887291180387,0.5134021039444885
250905,2.0,10,0.9429253045644174,0.7378530767984928
250905,2.0,100,0.8409510411510117,0.47865308462534684
250905,2.0,1000,0.7567152504251429,0.3931023543933273
250905,2.0,10000,0.7719305090424105,0.38184731536384126
250905,4.0,10,0.9493497664558506,0.7307986658546488
250905,4.0,100,0.7992813883175087,0.44031315448954733
250905,4.0,1000,0.6861397466937357,0.34384125999902176
250905,4.0,10000,0.67204944970369,0.3361142632358026
250905,8.0,10,0.8975183269496456,0.6372507101012164
250905,8.0,100,0.7700115398603868,0.49624768490669846
250905,8.0,1000,0.6972183549088138,0.3925700322537662
250905,8.0,10000,0.672239193758149,0.3688161360547305
250912,0.0,0,1.0,1.0
250912,1.0,10,1.052061149226168,0.777576806972744
250912,1.0,100,0.9733607236434548,0.5794849408195111
250912,1.0,1000,0.9194794005561593,0.5430352731863444
250912,1.0,10000,0.858156791716554,0.5150282526240875
250912,2.0,10,0.9638960745245728,0.7245298142490636
250912,2.0,100,0.9153168416712909,0.4620911258820707
250912,2.0,1000,0.8302985595048037,0.3876253917081482
250912,2.0,10000,0.7809152903907761,0.36318570546104
250912,4.0,10,0.9888998154399109,0.6822659257391309
250912,4.0,100,0.8655866292866231,0.45237596729442575
250912,4.0,1000,0.7608153466611689,0.37742400036803553
250912,4.0,10000,0.7148976668617476,0.3401834495163327
250912,8.0,10,0.9880530996923563,0.7364637958477656
250912,8.0,100,0.8629457280709751,0.5359207807786978
250912,8.0,1000,0.7765972423161901,0.431361774711436
250912,8.0,10000,0.8005060776047638,0.4410877505391745
260522,0.0,0,0.9999999999999999,0.9999999999999999
260522,1.0,10,0.9708161629498783,0.6394606671625236
260522,1.0,100,0.9013427327865946,0.507409178646523
260522,1.0,1000,0.8736066818545396,0.4484939496929367
260522,1.0,10000,0.8907734098822304,0.44052071521288
260522,2.0,10,0.9150032515838733,0.639130205102791
260522,2.0,100,0.8108183427472593,0.4078885101800829
260522,2.0,1000,0.7583150712302362,0.34515850306347795
260522,2.0,10000,0.7402371482972212,0.3218724463918558
260522,4.0,10,0.9149757184106129,0.635315779939499
260522,4.0,100,0.7386363599048338,0.37352113787960284
260522,4.0,1000,0.6433454017431752,0.29022434165449357
260522,4.0,10000,0.6532744865694216,0.2745426893532191
260522,8.0,10,0.9236944636884923,0.7017346682129955
260522,8.0,100,0.797939443606586,0.454196250987731
260522,8.0,1000,0.6830813305049233,0.3327760841568907
260522,8.0,10000,0.6688104812081377,0.3094992756536221
