,EXPERIMENT,CELL,GFP_Intensity_Normed,RFP_Intensity_Normed,Total_PolII_F12_Normed,pSer2_PolII_3E10_Normed,EU_Normed,TIME_IN_AUXIN_H
0,241026_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,39.91785779861869,60.97259121500245,100.0,100.0,100.00000000000001,0.0
1,241026_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,17.92615410966684,63.995444531245006,78.28867148750085,95.62241196250937,118.49065580356833,0.5
2,241026_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,8.918057286301329,66.42963299814757,75.46053432124539,95.27635925509844,106.17823317182416,1.0
3,241026_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,6.005572115691367,66.59976366483822,70.78339246046075,96.14426679573901,106.43199690233106,1.5
4,241026_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,4.273639912557666,66.8992888282524,77.35032244169972,96.24642510500766,104.05934159379575,2.0
5,241029_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,44.573102135541966,60.87386311410095,99.99999999999999,100.0,100.0,0.0
6,241029_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,20.168144953853112,62.0500627812356,84.67485112533402,98.47744075418554,86.46280751078415,0.5
7,241029_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10.276230037155768,62.172093579707415,76.226123202674,101.43656419624,102.41550195756002,1.0
8,241029_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,6.960491869693177,64.36574178716815,78.39335794539981,96.5506646744622,110.17524585621803,1.5
9,241029_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,5.744152686020155,66.04070288130166,80.70852667935904,96.76815722893176,112.92788073802573,2.0
10,241111_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,40.10382421572267,57.966616387265184,100.0,100.00000000000001,100.0,0.0
11,241111_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,20.714213302488325,59.75013697333956,84.38904534658067,96.80378267138823,84.72458066034584,0.5
12,241111_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10.107941762846604,60.858516811257616,76.30847860492145,94.46655262452184,89.52344451912549,1.0
13,241111_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,7.179392635272199,62.87279547691563,75.57135962786501,94.31653376796537,95.29864256146278,1.5
14,241111_mACmChPOLR2A_ActivePolII,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,5.843956268737021,61.015728769700665,78.08026368975881,100.66619497049561,99.30518970096436,2.0
