,Experiment,TREATMENT_CODE,FIRST_TREATMENT,SECOND_TREATMENT,TIME_HR,GFP_Intensity_BleachCorrected,RFP_Intensity_BleachCorrected
0,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,0.5,0.0030121397342164095,1.2805574239051902
1,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,1.0,-0.002536657554370604,1.2801313400833458
2,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,1.5,-0.012340518286957857,1.2700580345095056
3,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,2.0,-0.012700803813725745,1.275662626632509
4,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,2.5,-0.012177450225879297,1.2771381035918081
5,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,3.0,-0.01778457859572113,1.28546152715656
6,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,3.5,-0.01824812836544872,1.3040512970185003
7,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,4.0,-0.009777940445576562,1.3128528218290412
8,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,4.5,-0.012199886013237175,1.3211596252448925
9,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,5.0,-0.008277834200448033,1.3253354953742527
10,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,5.5,-0.013254550889458195,1.313386180582408
11,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,6.0,-0.019119497430859233,1.319611398084177
12,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,6.5,-0.009598893231595797,1.3182302605156293
13,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,7.0,-0.010730201237966584,1.3123405613043693
14,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,7.5,-0.015152344810387753,1.3109962176122716
15,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,8.0,-0.009185046571795339,1.3109877034768551
16,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,8.5,-0.011581118047451107,1.3046032301617925
17,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,9.0,-0.012689233810042135,1.3075560000527071
18,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,9.5,-0.010767752037749797,1.3010243587840071
19,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,10.0,-0.006441684895462867,1.3048563471378951
20,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,10.5,-0.005917132507843758,1.2970178793286735
21,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,11.0,0.00026274582606432306,1.2869951828410946
22,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,11.5,-0.0066528415780552725,1.289611974986714
23,220825,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,12.0,-0.006175691964418815,1.2840743491724844
24,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,0.5,0.023864927650821273,1.2830973703569049
25,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,1.0,0.13984268657699261,1.2875404957126915
26,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,1.5,0.19329322733207555,1.2652233702341484
27,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,2.0,0.2629857289771775,1.2669462751254184
28,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,2.5,0.32212539833023063,1.2513317777833581
29,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,3.0,0.3852468229961862,1.2544214921498793
30,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,3.5,0.4365164369853253,1.2550593556610448
31,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,4.0,0.47949204269450957,1.2448294708889913
32,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,4.5,0.5265282079798677,1.2408117175744844
33,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,5.0,0.56035549063877,1.2289752778538043
34,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,5.5,0.5891816098463596,1.219763820779312
35,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,6.0,0.6131649682081713,1.208090767115168
36,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,6.5,0.636530705796198,1.2071879022412926
37,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,7.0,0.6621331263927166,1.1961601213344542
38,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,7.5,0.6719117612482337,1.198774862671151
39,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,8.0,0.6877311069787829,1.1887631308950226
40,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,8.5,0.7000399476606252,1.180178307173571
41,220825,AUX_VEH,10 µM 5PhIAA,Vehicle,9.0,0.7202522690683668,1.169224248554566
