length,gene.name,TSS,gene.body,condition,biotype,pausing_ratio,log2_pausing_ratio,baseMean_90min_0h,baseMean_8h_0h,promoter_type_NA,promoter_type_1,promoter_type_2,promoter_type_3,promoter_type_4,promoter_coordinate_1,promoter_coordinate_2,promoter_coordinate_3,promoter_coordinate_4
20653,SAMD11,0.3909798333,0.572374632,D8L4Y_0h,protein_coding,0.6830837906526926,-0.5498655369508347,0.781619109364192,0.8852338709004641,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
15107,NOC2L,1.295440974,0.3582555181,D8L4Y_0h,protein_coding,3.6159693530202737,1.854382450310336,14.656973581851803,14.042693427405558,NA,GC_box,NA,NA,NA,chr1:959255-959256,NA,NA,NA
5136,KLHL17,0.5289753649,0.4290360127,D8L4Y_0h,protein_coding,1.2329393086866154,0.30210178497039314,1.2902980894437979,1.3566661393775445,NA,GC_box,Initiator,NA,NA,chr1:960632-960633,chr1:960632-960633,NA,NA
9384,PLEKHN1,2.165845028,0.3373271873,D8L4Y_0h,protein_coding,6.420606193457565,2.682709514015627,2.0745392203748008,2.4303906046816928,NA,GC_box,NA,NA,NA,chr1:966481-966482,NA,NA,NA
6920,PERM1,0.3565201364,0.6391171633,D8L4Y_0h,protein_coding,0.5578322049108394,-0.8420968680794729,0.1108969533656003,0.0703014455778057,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
1211,HES4,3.664382047,0.460405,D8L4Y_0h,protein_coding,7.959040512157774,2.992594519740506,0.4153723406820635,0.3178687025084157,NA,CCAAT,GC_box,TATA,NA,chr1:1000096-1000097,chr1:1000096-1000097,chr1:1000096-1000097,NA
13403,ISG15,1.005666586,0.6993442958,D8L4Y_0h,protein_coding,1.438013567908764,0.5240772879207052,3.7419952924763025,4.26230890502064,NA,TATA,NA,NA,NA,chr1:1013496-1013497,NA,NA,NA
36000,AGRN,0.91548855,0.3525986321,D8L4Y_0h,protein_coding,2.596404145267244,1.3765149646129757,19.42470634526335,19.655509941367196,NA,GC_box,Initiator,NA,NA,chr1:1020119-1020120,chr1:1020119-1020120,NA,NA
3340,RNF223,1.87924017,0.2028588212,D8L4Y_0h,protein_coding,9.263783348850495,3.21160151356097,0.6137778322285353,0.67904899621605,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
34544,C1orf159,0.569114102,0.2542147508,D8L4Y_0h,protein_coding,2.2387139228114377,1.1626701831658275,29.709394351655387,29.577937617704862,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
24057,TTLL10,0.2312696154,0.1372483057,D8L4Y_0h,protein_coding,1.6850453214738665,0.7527873950785149,0.4378486370010908,0.6134247579248303,NA,GC_box,NA,NA,NA,chr1:1173897-1173898,NA,NA,NA
3085,TNFRSF18,1.083627407,0.1402872551,D8L4Y_0h,protein_coding,7.724346778526426,2.9494129344115567,0.5119656197134618,0.3718341332518215,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
2828,TNFRSF4,0.1356559625,0.111764207,D8L4Y_0h,protein_coding,1.2137692928828279,0.27949422748806807,0.017151920619853083,0.006290482798896598,NA,CCAAT,GC_box,Initiator,NA,chr1:1214152-1214153,chr1:1214152-1214153,chr1:1214152-1214153,NA
15101,SDF4,1.905015,0.2478786137,D8L4Y_0h,protein_coding,7.685273737675417,2.9420966474181314,13.358081951138717,12.857113601901846,NA,CCAAT,NA,NA,NA,chr1:1232000-1232001,NA,NA,NA
2805,B3GALT6,0.3443379153,0.4078183993,D8L4Y_0h,protein_coding,0.8443412947798307,-0.2441018201746171,5.184478716005447,5.518890861766802,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
4277,C1QTNF12,0.1196399937,0.1522497765,D8L4Y_0h,protein_coding,0.7858139200618137,-0.34774037068165775,0.11758958373105534,0.08241880483164021,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
19956,UBE2J2,1.34573561,0.3937745407,D8L4Y_0h,protein_coding,3.417528232291834,1.772953256022757,32.607674124217745,32.2970620244385,NA,GC_box,Initiator,NA,NA,chr1:1273832-1273833,chr1:1273832-1273833,NA,NA
11594,SCNN1D,0.158162,0.2749310461,D8L4Y_0h,protein_coding,0.5752787916955443,-0.7976668102721213,0.18788682639998824,0.2183456601534515,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
3081,PUSL1,0.7597746154,1.057643059,D8L4Y_0h,protein_coding,0.7183658124872164,-0.47720940200314077,1.5003440504856622,1.3927369460024128,NA,GC_box,NA,NA,NA,chr1:1308596-1308597,NA,NA,NA
17220,ACAP3,1.272114463,0.4081521026,D8L4Y_0h,protein_coding,3.1167656736212046,1.6400496935540794,2.358609117012121,2.3394407161379593,NA,Initiator,NA,NA,NA,chr1:1307929-1307930,NA,NA,NA
13103,INTS11,1.669398046,0.7377206688,D8L4Y_0h,protein_coding,2.2629134801326583,1.1781814258908285,7.427125545588356,7.066917701201787,NA,CCAAT,GC_box,NA,NA,chr1:1324659-1324660,chr1:1324659-1324660,NA,NA
4141,CPTP,1.60667953,0.5164503062,D8L4Y_0h,protein_coding,3.1110050874435906,1.6373807541212944,1.6976260525325737,1.75099127779632,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
4035,TAS1R3,1.0462969,1.276939105,D8L4Y_0h,protein_coding,0.8193788536219978,-0.2873974343956588,0.018923415251316394,0.02606413896073718,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
14143,DVL1,0.2456076791,0.5055939225,D8L4Y_0h,protein_coding,0.48578052102673364,-1.041623453372932,5.772716980799339,6.0310061431881286,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
9089,MXRA8,0.17403296,0.7136090484,D8L4Y_0h,protein_coding,0.24387717671209955,-2.0357733453017044,0.053590604510578045,0.025433997847550727,NA,GC_box,NA,NA,NA,chr1:1358542-1358543,NA,NA,NA
1478,AURKAIP1,1.725241955,0.3059176944,D8L4Y_0h,protein_coding,5.639562492074012,2.4955832450712503,1.8520196223270584,1.8018348911189876,NA,CCAAT,NA,NA,NA,chr1:1375181-1375182,NA,NA,NA
13625,CCNL2,1.649365455,0.3154625524,D8L4Y_0h,protein_coding,5.228403315866914,2.3863704340480933,32.006985454813496,31.643404605205117,NA,CCAAT,GC_box,NA,NA,chr1:1399313-1399314,chr1:1399313-1399314,NA,NA
5385,MRPL20,2.353829673,1.082485026,D8L4Y_0h,protein_coding,2.1744685759745557,1.1206628600490496,19.058771927070953,19.156742901668142,NA,Initiator,NA,NA,NA,chr1:1407292-1407293,NA,NA,NA
3350,ANKRD65,0.18013375,0.1377837126,D8L4Y_0h,protein_coding,1.3073660638173283,0.3866631537654477,0,0,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
4385,TMEM88B,0.08311744167,0.203418978,D8L4Y_0h,protein_coding,0.40860219870930625,-1.2912311275796142,0.022933177854555686,0.009122134472399849,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
8022,VWA1,0.416533587,0.5281557436,D8L4Y_0h,protein_coding,0.7886567400760157,-0.3425305857077389,1.7244870410568263,2.3126309322654004,NA,GC_box,Initiator,NA,NA,chr1:1435689-1435690,chr1:1435689-1435690,NA,NA
20475,ATAD3C,0.1186494812,0.1343853226,D8L4Y_0h,protein_coding,0.8829050591571077,-0.1796697850400574,1.0858604219929757,0.9878528511993675,NA,CCAAT,NA,NA,NA,chr1:1462468-1462469,NA,NA,NA
26084,ATAD3B,1.596837341,0.3555185175,D8L4Y_0h,protein_coding,4.4915729066067565,2.167220751689007,23.93950910182315,22.393794863065597,NA,CCAAT,GC_box,NA,NA,chr1:1471780-1471781,chr1:1471780-1471781,NA,NA
22524,ATAD3A,1.151113479,0.2839621544,D8L4Y_0h,protein_coding,4.053756675540985,2.0192594944472106,12.609767611603587,11.479259237909687,NA,Initiator,NA,NA,NA,chr1:1512161-1512162,NA,NA,NA
5847,TMEM240,0.2093724857,0.3568377335,D8L4Y_0h,protein_coding,0.5867442426741005,-0.7691963142637992,0.4027652959178849,0.40866881527099747,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
33191,SSU72,1.358661847,0.4170720727,D8L4Y_0h,protein_coding,3.2576188527906678,1.7038178158474946,75.67436940609257,75.01737747628516,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
2124,FNDC10,0.0611246,0.1845538256,D8L4Y_0h,protein_coding,0.33120202088078526,-1.5942166191944709,0.05515585059081968,0.11020286234895986,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
15152,MIB2,2.7551816,0.821111014,D8L4Y_0h,protein_coding,3.3554313034704952,1.7464982207876953,3.0737316201137834,3.219620727801075,NA,GC_box,Initiator,NA,NA,chr1:1615515-1615516,chr1:1615515-1615516,NA,NA
3101,MMP23B,0.2935932143,0.429551796,D8L4Y_0h,protein_coding,0.6834873396734675,-0.5490134800398834,0.018155460541490896,0.01234919257143916,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
23788,CDK11B,0.8769474051,0.3301962114,D8L4Y_0h,protein_coding,2.6558372713661003,1.4091667524885483,34.705827174980136,33.617230816577404,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
33267,SLC35E2B,2.133977771,0.3355814693,D8L4Y_0h,protein_coding,6.359045317524033,2.6688101901862624,13.754757245925711,14.964408908294613,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
21979,CDK11A,2.012276589,0.2373325626,D8L4Y_0h,protein_coding,8.478721027385898,3.0838466578771615,0.07287981175734497,0.054417545983452636,no promoter information,NA,NA,NA,NA,NA,NA,NA,NA
29226,NADK,0.5945289375,0.4715202113,D8L4Y_0h,protein_coding,1.260876889796219,0.33442741987627456,41.61136941233324,43.05453795476104,NA,GC_box,Initiator,NA,NA,chr1:1780030-1780031,chr1:1780030-1780031,NA,NA
