chr,start,end,bin,V5,V6,V7,V8,V9,gene_id,V11,hgnc_symbol,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,coverage,dataset,condition,target,coverage.fold
chr1,925923,942575,20653,+,ensembl_havana,gene,NA,NA,ENSG00000187634,13,SAMD11,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20653,SAMD11,0.2874847344,Gene Body,D8L4Y_0h,Total Pol II,1.2708429347604737
chr1,942203,961309,15107,-,ensembl_havana,gene,NA,NA,ENSG00000188976,11,NOC2L,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15107,NOC2L,0.6273386864,Gene Body,D8L4Y_0h,Total Pol II,2.7731870319210814
chr1,962584,963719,5136,+,ensembl_havana,gene,NA,NA,ENSG00000187961,15,KLHL17,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5136,KLHL17,0.3015495833,Gene Body,D8L4Y_0h,Total Pol II,1.333017414704055
chr1,968482,973865,9384,+,ensembl_havana,gene,NA,NA,ENSG00000187583,11,PLEKHN1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9384,PLEKHN1,0.2938106786,Gene Body,D8L4Y_0h,Total Pol II,1.2988071378303776
chr1,973198,984117,6920,-,ensembl_havana,gene,NA,NA,ENSG00000187642,10,PERM1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6920,PERM1,0.5239092578,Gene Body,D8L4Y_0h,Total Pol II,2.3159712466831195
chr1,1003138,1012540,13403,+,ensembl_havana,gene,NA,NA,ENSG00000187608,10,ISG15,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13403,ISG15,0.4443273224,Gene Body,D8L4Y_0h,Total Pol II,1.9641746876458812
chr1,1022120,1054119,36000,+,ensembl_havana,gene,NA,NA,ENSG00000188157,16,AGRN,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,AGRN,0.3301753235,Gene Body,D8L4Y_0h,Total Pol II,1.4595591587774714
chr1,1079818,1118361,34544,-,ensembl_havana,gene,NA,NA,ENSG00000131591,18,C1orf159,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34544,C1orf159,0.4074252691,Gene Body,D8L4Y_0h,Total Pol II,1.8010470217114238
chr1,1214931,1234031,15101,-,ensembl_havana,gene,NA,NA,ENSG00000078808,20,SDF4,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15101,SDF4,0.4078599728,Gene Body,D8L4Y_0h,Total Pol II,1.8029686546183405
chr1,1251909,1275864,19956,-,ensembl_havana,gene,NA,NA,ENSG00000160087,21,UBE2J2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19956,UBE2J2,0.4863482459,Gene Body,D8L4Y_0h,Total Pol II,2.149930616055572
